method,suite_idx,epsilon,rho,mal_rate,rounds,rmse_last,rmse_mean,rmse_std,var_mean,resid_var_mean,bytes_mean,enc_ops_mean,time_s_mean
sa_htd_paper,0,0.5,0.15,0.0,7683,3.1640097859342573,3.194573008885519,1.210149068111797,14.704710101905727,8.223446202603434,1086.912924638813,67.9320577899258,0.00130185391402378
fed_sense,0,0.5,0.15,0.0,7683,1.767767400937535,3.8653623439064777,3.5372724868976397,9.788502795051844,8.541554526999999,722.4740335806325,60.20616946505272,0.005652612934164683
dplp,0,0.5,0.15,0.0,7683,3.158815195828738,4.140251707262816,3.4541146047024296,12.234237999709572,10.004033205047348,1123.2799687622023,0.0,0.002370068295523631
eptd,0,0.5,0.15,0.0,7683,10.565755214996875,9.672857620984665,2.470189697677539,22.161928399994412,27.992157519339816,430.09032929845114,0.0,0.0026729543212489445
ud_ldp,0,0.5,0.15,0.0,7683,6.991503781485795,8.840164258075317,3.3978038804582305,24.011038918518725,41.273857365306625,1630.3693869582194,0.0,0.0033402512754047817
random,0,0.5,0.15,0.0,7683,2.5260492076976497,4.105113339228673,3.512408790832709,12.308510084232518,10.136063592903994,791.8531823506443,0.0,0.002137834014455648
etbp_td,0,0.5,0.15,0.0,7683,8.680231472564719,7.99088202995396,2.166810567112686,40.56890240738448,32.834677398252744,1630.3693869582194,203.79617336977742,0.004842875200247029
