rmse,rmse_raw,bytes,bytes_A,bytes_B,bytes_C,enc_ops,time_s,A_reports,B_reports,C_reports,pickedA,route_ratio,var,resid_var,tau_percentile,A_budget_ratio,accountant_mode,epsilon_round,epsilon_cum_window,epsilon_limit,filter_triggered,shuffle_used,epsilon_effective,geo_r_protect,vdaf_http,vdaf_ok_ratio,reject_ratio,dap_mode,batch_key,collect_id,system_issues,method,suite_idx,epsilon,rho,mal_rate
2.601422970141072,2.7728348205446376,701,544,29,128,96,0.004591703414916992,17,29,2,5,0.39583333332508686,0.6198581360205824,6.294501310639111,95.0,0.3511881602506845,pld,2.0,22.090652956417088,64.0,False,True,2.0,,False,,,offline,2025-01-01 00:50:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
1.9496691119424658,2.9223728026373625,777,256,73,448,176,0.004907131195068359,8,73,7,5,0.17045454545260846,0.629305965955972,3.42313395180526,95.0,0.3489405560250802,pld,2.0,24.090652956417088,64.0,False,True,2.0,,False,,,offline,2025-01-01 00:55:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
1.7585256731251278,2.4090350802197906,778,448,10,320,58,0.0018160343170166016,14,10,5,5,0.6551724137705113,0.2961548907327434,2.5582423228762026,95.0,0.3768558005070866,pld,2.0,26.090652956417088,64.0,False,True,2.0,,False,,,offline,2025-01-01 01:00:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
1.8447892469458749,2.2087467142573027,590,416,46,128,122,0.0016818046569824219,13,46,2,4,0.24590163934023113,0.32614269030284154,2.5047249333341752,95.0,0.4070042645476536,pld,2.0,28.090652956417088,64.0,False,True,2.0,,False,,,offline,2025-01-01 01:05:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
1.7501037543141635,2.3660435783043994,698,480,26,192,88,0.0016560554504394531,15,26,3,4,0.4090909090816116,0.19930840457010365,2.5225691530535177,95.0,0.4395646057114659,pld,2.0,30.090652956417088,64.0,False,True,2.0,,False,,,offline,2025-01-01 01:10:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
1.848574839505109,2.4594535661802652,800,320,32,448,98,0.0016052722930908203,10,32,7,4,0.34693877550312374,0.19626063822381143,2.827242278650992,95.0,0.4747297741683832,pld,2.0,32.09065295641709,64.0,False,True,2.0,,False,,,offline,2025-01-01 01:15:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
3.1667473510260082,3.5232682715306383,387,224,35,128,88,0.004812955856323242,7,35,2,5,0.2045454545408058,0.1615560998194058,6.040854594580288,95.0,0.4716915036137056,pld,2.0,34.09065295641709,64.0,False,True,2.0,,False,,,offline,2025-01-01 01:20:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
2.7147571729431426,2.182483071446634,491,352,11,128,48,0.0014657974243164062,11,11,2,4,0.5416666666440972,0.1748509317463955,4.018882085951539,95.0,0.509426823902802,pld,2.0,36.09065295641709,64.0,False,True,2.0,,False,,,offline,2025-01-01 01:25:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
2.9578782675561963,3.3231133832877187,554,416,10,128,50,0.0015659332275390625,13,10,2,5,0.599999999976,0.19207599475022058,4.222533177720476,95.0,0.55,pld,2.0,38.09065295641709,64.0,False,True,2.0,,False,,,offline,2025-01-01 01:30:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
2.562516749887249,2.4543259090085034,619,288,11,320,50,0.0014958381652832031,9,11,5,5,0.5599999999776,0.34995835088448357,3.675295266333686,95.0,0.55,pld,2.0,40.09065295641709,64.0,False,True,2.0,,False,,,offline,2025-01-01 01:35:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
