rmse,var,resid_var,bytes,enc_ops,time_s,method,suite_idx,epsilon,rho,mal_rate
2.5767326290440895,48.89970201873087,4.228295919792966,120,0,0.0012359619140625,dplp,6,2.0,0.15,0.0
3.6445802737648956,14.44287680324114,8.264957101898535,432,0,0.0019030570983886719,dplp,6,2.0,0.15,0.0
3.272252890442208,29.418772627337777,10.36310075979315,408,0,0.003854990005493164,dplp,6,2.0,0.15,0.0
3.80151156259742,24.134874271927508,11.996262861003668,792,0,0.00226593017578125,dplp,6,2.0,0.15,0.0
2.6481602567478313,8.66213096565112,4.731971137523554,888,0,0.004935264587402344,dplp,6,2.0,0.15,0.0
1.451715247615885,16.703274934226936,2.1048743920796054,504,0,0.0018360614776611328,dplp,6,2.0,0.15,0.0
2.140170315350365,1.3406057333943424,3.2204231696407177,864,0,0.006977081298828125,dplp,6,2.0,0.15,0.0
2.39151385168811,19.226354331507817,5.5647352894225595,624,0,0.002215862274169922,dplp,6,2.0,0.15,0.0
3.634314270571015,7.187401388587099,12.588943302598553,816,0,0.0024666786193847656,dplp,6,2.0,0.15,0.0
2.958084734336974,13.99954413870088,6.821575141712197,864,0,0.0024750232696533203,dplp,6,2.0,0.15,0.0
3.2158901013575782,3.949959570855855,9.371116691129682,792,0,0.0021600723266601562,dplp,6,2.0,0.15,0.0
2.9419879426281668,4.556236361535653,8.127325053317781,1392,0,0.002952098846435547,dplp,6,2.0,0.15,0.0
2.7215004478177787,2.747363151388206,4.376241374164557,504,0,0.0020380020141601562,dplp,6,2.0,0.15,0.0
2.178220835576159,1.652903213112861,4.380731273552687,1008,0,0.002355813980102539,dplp,6,2.0,0.15,0.0
3.1294010587163807,5.376454675465295,9.04001796130238,720,0,0.002319812774658203,dplp,6,2.0,0.15,0.0
2.737759994232114,3.7562978452213045,6.051929072119408,792,0,0.0029909610748291016,dplp,6,2.0,0.15,0.0
3.7490106713646454,2.7970588251893433,8.954999213515755,744,0,0.004575967788696289,dplp,6,2.0,0.15,0.0
2.4326263138515274,2.1948006562049773,4.09760631632085,456,0,0.0017180442810058594,dplp,6,2.0,0.15,0.0
3.7143304922356655,5.039819228788684,8.305035680986157,456,0,0.0019519329071044922,dplp,6,2.0,0.15,0.0
2.2533314477284456,1.4558433416767238,4.997247317533604,432,0,0.001958131790161133,dplp,6,2.0,0.15,0.0
3.425378698238524,1.6430559771951352,5.535618005833343,576,0,0.0022630691528320312,dplp,6,2.0,0.15,0.0
3.1095114016703533,2.58483896231503,4.941067055659424,576,0,0.001984119415283203,dplp,6,2.0,0.15,0.0
3.299239029881526,4.102933243512984,10.419432723850678,504,0,0.0019600391387939453,dplp,6,2.0,0.15,0.0
4.097413221508499,1.5738498781422,12.566783808577648,672,0,0.002279996871948242,dplp,6,2.0,0.15,0.0
2.0858658763198266,2.1789828926584236,4.299384185335853,600,0,0.004306793212890625,dplp,6,2.0,0.15,0.0
2.5806404702077548,2.806725307473621,6.5808773654020625,360,0,0.004422903060913086,dplp,6,2.0,0.15,0.0
2.696358727858462,5.950093879284976,6.5102328919632715,744,0,0.0056629180908203125,dplp,6,2.0,0.15,0.0
2.5502769807763226,4.038640938024509,6.486575220751851,456,0,0.0039598941802978516,dplp,6,2.0,0.15,0.0
3.8015215881028857,0.601819357160684,6.035049261854696,336,0,0.0030798912048339844,dplp,6,2.0,0.15,0.0
4.857736687283649,6.052544135364824,20.087821607984786,432,0,0.0064737796783447266,dplp,6,2.0,0.15,0.0
3.6423328783577036,3.4022573826324813,11.669135478658342,408,0,0.0037801265716552734,dplp,6,2.0,0.15,0.0
5.362857634190937,1.7383866808277033,22.932035957825583,384,0,0.0018346309661865234,dplp,6,2.0,0.15,0.0
5.181137175599302,0.2973644484675491,17.504706357990738,336,0,0.0016138553619384766,dplp,6,2.0,0.15,0.0
2.936112325423574,2.7098737432184534,8.18214259496649,408,0,0.0018889904022216797,dplp,6,2.0,0.15,0.0
6.132055959500541,27.631448289967675,36.10383083415364,240,0,0.0013477802276611328,dplp,6,2.0,0.15,0.0
5.0516832421808715,14.914752420099651,24.84082365659942,264,0,0.004086017608642578,dplp,6,2.0,0.15,0.0
2.99370205315238,1.1100670602191562,6.226652908074231,192,0,0.0027167797088623047,dplp,6,2.0,0.15,0.0
5.090210877268154,3.5132355543568767,18.394552613502572,264,0,0.0015010833740234375,dplp,6,2.0,0.15,0.0
2.287486987863409,2.22405547581642,4.8197102679381665,432,0,0.0015020370483398438,dplp,6,2.0,0.15,0.0
2.2826975424405367,4.81261684614765,4.032081884686433,240,0,0.0012929439544677734,dplp,6,2.0,0.15,0.0
2.7981651891027894,1.735632155312988,4.372509266866977,264,0,0.001444101333618164,dplp,6,2.0,0.15,0.0
3.9686635136057826,3.445408103522841,7.667664316427087,384,0,0.0018310546875,dplp,6,2.0,0.15,0.0
2.748356590493488,0.6057946162490364,4.289810901198726,192,0,0.0011739730834960938,dplp,6,2.0,0.15,0.0
3.478025294603395,7.674740736006808,11.519160080214892,408,0,0.0018351078033447266,dplp,6,2.0,0.15,0.0
2.8305015533896807,9.405662108471347,7.953554515844834,288,0,0.001444101333618164,dplp,6,2.0,0.15,0.0
5.456474990059086,14.88772613259301,28.536352803653163,144,0,0.0010390281677246094,dplp,6,2.0,0.15,0.0
3.134648794898739,8.168217636621849,9.426487912724417,168,0,0.0012488365173339844,dplp,6,2.0,0.15,0.0
5.833785893040621,5.906564614823865,13.11714970646085,144,0,0.0010361671447753906,dplp,6,2.0,0.15,0.0
1.947349810670609,2.0607987760078115,3.7735695378154586,360,0,0.002226114273071289,dplp,6,2.0,0.15,0.0
3.7940149851083875,3.4845595771165048,8.009103455454374,168,0,0.0011241436004638672,dplp,6,2.0,0.15,0.0
3.2296697403862256,5.631784665985195,7.694073055909467,216,0,0.00286102294921875,dplp,6,2.0,0.15,0.0
4.073073400138443,8.885901442554989,11.230032620898749,168,0,0.003428220748901367,dplp,6,2.0,0.15,0.0
3.7757728273658633,0.48330220679876507,5.764485365594943,72,0,0.0017099380493164062,dplp,6,2.0,0.15,0.0
3.52928688118702,1.779570735303917,7.401307176562544,96,0,0.0025060176849365234,dplp,6,2.0,0.15,0.0
2.284519759046721,4.148676723983916,5.151595575737764,144,0,0.001722097396850586,dplp,6,2.0,0.15,0.0
2.5756393991811772,0.06852889428250337,5.53973364033957,48,0,0.0006690025329589844,dplp,6,2.0,0.15,0.0
1.7442265733037072,0.003061061652062922,2.5831458469307016,24,0,0.0004839897155761719,dplp,6,2.0,0.15,0.0
4.328633030946673,0.08892652466733554,4.520053431957411,96,0,0.000743865966796875,dplp,6,2.0,0.15,0.0
15.546367510124576,0.0,10.139893136894633,0,0,0.00010323524475097656,dplp,6,2.0,0.15,0.0
12.531512076980283,0.0,2.9623726898750586,0,0,8.893013000488281e-05,dplp,6,2.0,0.15,0.0
13.383837591184987,0.0,4.27646722847021,0,0,8.392333984375e-05,dplp,6,2.0,0.15,0.0
1.913514602940604,0.022063325603153328,3.319594979171526,48,0,0.0005278587341308594,dplp,6,2.0,0.15,0.0
14.396600386085556,0.0,1.5976024968228968,0,0,0.00016808509826660156,dplp,6,2.0,0.15,0.0
12.52560501309977,0.0,0.844327433812666,0,0,9.393692016601562e-05,dplp,6,2.0,0.15,0.0
14.133361245591743,0.0,0.1380291121548413,0,0,8.916854858398438e-05,dplp,6,2.0,0.15,0.0
21.876105297843793,0.0,17.72022547697017,0,0,0.00018262863159179688,dplp,6,2.0,0.15,0.0
18.07713720655715,0.0,21.648176991411805,0,0,7.700920104980469e-05,dplp,6,2.0,0.15,0.0
14.603720619360589,0.0,0.0,0,0,0.0001628398895263672,dplp,6,2.0,0.15,0.0
12.12284783290014,0.0,6.146623650986483,0,0,0.00017023086547851562,dplp,6,2.0,0.15,0.0
18.687411953747983,0.0,34.186862067644036,0,0,0.00010395050048828125,dplp,6,2.0,0.15,0.0
18.620669430455784,0.0,0.0,24,0,0.0005278587341308594,dplp,6,2.0,0.15,0.0
14.1044776119403,0.0,0.0,0,0,0.00018310546875,dplp,6,2.0,0.15,0.0
20.971291866028707,0.0,0.0,0,0,6.890296936035156e-05,dplp,6,2.0,0.15,0.0
19.748571428571427,0.0,0.0,0,0,8.797645568847656e-05,dplp,6,2.0,0.15,0.0
12.802816901408452,0.0,0.0,0,0,0.00019407272338867188,dplp,6,2.0,0.15,0.0
16.242593383048458,0.0,0.3049488645540677,0,0,8.58306884765625e-05,dplp,6,2.0,0.15,0.0
16.85120721931551,0.0,0.0,0,0,0.00011587142944335938,dplp,6,2.0,0.15,0.0
20.43779511924119,0.0,52.54925551295336,0,0,0.00010180473327636719,dplp,6,2.0,0.15,0.0
13.059936908517347,0.0,0.0,0,0,7.128715515136719e-05,dplp,6,2.0,0.15,0.0
29.32682926829268,0.0,0.0,0,0,0.00016498565673828125,dplp,6,2.0,0.15,0.0
13.652458008342807,0.17636836418745921,39.841325023194344,24,0,0.0010759830474853516,dplp,6,2.0,0.15,0.0
6.812635846831852,20.065471759012254,2.588486668572725,48,0,0.0007028579711914062,dplp,6,2.0,0.15,0.0
13.71336800244723,0.0,0.0,0,0,5.626678466796875e-05,dplp,6,2.0,0.15,0.0
20.80478259115651,0.0,0.1406768672194767,0,0,0.00010204315185546875,dplp,6,2.0,0.15,0.0
18.10169491525424,0.0,0.0,0,0,6.4849853515625e-05,dplp,6,2.0,0.15,0.0
34.9037037037037,0.0,0.0,0,0,0.00013899803161621094,dplp,6,2.0,0.15,0.0
19.30038022813688,0.0,0.0,0,0,0.00013899803161621094,dplp,6,2.0,0.15,0.0
2.5154345051438787,3.33049305711251,5.493378958982766,48,0,0.0006382465362548828,dplp,6,2.0,0.15,0.0
