method,suite_idx,epsilon,rho,mal_rate,rounds,rmse_last,rmse_mean,rmse_std,var_mean,resid_var_mean,bytes_mean,enc_ops_mean,time_s_mean
fed_sense,2,0.5,0.25,0.3,17379,6.3665362716799905,85.06590152112787,154.2778293791801,14002.57813647522,14749.403782255384,45.03089936129812,3.752574946774843,0.8801550233149407
dplp,2,0.5,0.25,0.3,17379,6.613694307767682,77.72060835554534,160.51187966597047,19946.75490124449,16103.35488528045,70.45606766787502,0.0,0.0011459018097722809
eptd,2,0.5,0.25,0.3,17379,32.07300151211924,124.48613882519336,124.79740938804915,3293.825615932771,9894.788660493246,192.0,0.0,0.003958272223327451
ud_ldp,2,0.5,0.25,0.3,17379,6.341705798316003,77.21931824157647,158.7915493035522,19888.639665092363,16070.59723224262,72.0,0.0,0.0019751587508908554
random,2,0.5,0.25,0.3,17379,6.346380267970742,79.97314120816208,185.87544989888204,26079.54531000719,22207.954983849355,53.244950802692905,0.0,0.001434910495630088
etbp_td,2,0.5,0.25,0.3,17379,21.36610953798415,86.19917139386752,151.68226330988563,27871.58366037921,21253.37377043271,144.0,18.0,0.002139348567811411
