rmse,var,resid_var,bytes,enc_ops,time_s,method,suite_idx,epsilon,rho,mal_rate
5.68782049958439,0.019988538565410066,30.442344496687326,24,0,0.004868030548095703,random,6,2.0,0.15,0.0
12.217967936313054,108.32491758702061,89.26094831216751,48,0,0.001138925552368164,random,6,2.0,0.15,0.0
4.913110510169162,123.38989212427748,16.06284810963075,48,0,0.0020601749420166016,random,6,2.0,0.15,0.0
20.270345173657244,93.95230778054128,170.90846193934973,24,0,0.0011870861053466797,random,6,2.0,0.15,0.0
0.601344243940699,0.001095384768098258,0.22331760699055123,48,0,0.002274036407470703,random,6,2.0,0.15,0.0
0.5377458755410971,0.00338930916524116,0.22561153138766754,48,0,0.0011491775512695312,random,6,2.0,0.15,0.0
0.6223672721790448,0.5640358025338738,0.22650898970324715,48,0,0.0009889602661132812,random,6,2.0,0.15,0.0
1.4540199940269065,0.0008782709382012744,0.7094560563730724,24,0,0.0009341239929199219,random,6,2.0,0.15,0.0
5.474970490754453,0.008031001358006497,10.112775702534044,24,0,0.0009179115295410156,random,6,2.0,0.15,0.0
3.7531520702045973,0.05272268834411345,12.041242962376517,24,0,0.0010271072387695312,random,6,2.0,0.15,0.0
2.2073122794474167,79.61417906769339,0.7661171339268443,48,0,0.0011210441589355469,random,6,2.0,0.15,0.0
17.49669648923577,0.3063530966468007,186.0664711340397,24,0,0.0022058486938476562,random,6,2.0,0.15,0.0
24.054381814274258,82.36432349456616,394.36844808157633,48,0,0.0010790824890136719,random,6,2.0,0.15,0.0
26.454222226478443,1081.0074317534506,310.16591711785713,48,0,0.0025768280029296875,random,6,2.0,0.15,0.0
36.87108643752386,4.376108225308553,949.1289766922959,24,0,0.002672910690307617,random,6,2.0,0.15,0.0
23.939568071097376,1722.2238914383072,172.54152478768034,48,0,0.0015048980712890625,random,6,2.0,0.15,0.0
28.838198547120147,4.252289078590391,486.39821100658656,48,0,0.0010738372802734375,random,6,2.0,0.15,0.0
25.34015176487905,34.478589107388125,440.1189976743676,48,0,0.0020580291748046875,random,6,2.0,0.15,0.0
27.28127197808704,192.2491829901347,206.58197552532542,48,0,0.0010540485382080078,random,6,2.0,0.15,0.0
11.648668053870077,78.59918071608449,77.85273539735446,48,0,0.0015900135040283203,random,6,2.0,0.15,0.0
48.003595314698245,1464.407516804121,1131.6393324864266,48,0,0.0009510517120361328,random,6,2.0,0.15,0.0
46.4860710336622,1867.8812090466863,1074.7016563556294,48,0,0.0020177364349365234,random,6,2.0,0.15,0.0
10.275969961426355,1.4864405729840786,67.13457142979455,24,0,0.0028350353240966797,random,6,2.0,0.15,0.0
10.516179299316288,2.5535357157990437,96.03376960167407,24,0,0.0009300708770751953,random,6,2.0,0.15,0.0
5.018703655698548,14.249715485227242,16.06568495517187,48,0,0.0022840499877929688,random,6,2.0,0.15,0.0
12.502041910401749,0.0003206750227573825,53.294185702209894,24,0,0.0013489723205566406,random,6,2.0,0.15,0.0
3.7214339028412833,0.10843620480845338,13.04397236251458,48,0,0.0034360885620117188,random,6,2.0,0.15,0.0
