rmse,bytes,enc_ops,time_s,A_reports,B_reports,pickedA,route_ratio,Kp,var,resid_var,method,suite_idx,epsilon,rho,mal_rate
7.990964261739235,256,0,0.00214385986328125,4,0,8,1.0,8,81.90823543562144,25.886586464192234,eptd,5,1.0,0.25,0.3
7.232013738488745,576,0,0.003925800323486328,9,0,17,1.0,17,35.56588220875672,18.097965205800083,eptd,5,1.0,0.25,0.3
8.16128928995415,512,0,0.0044097900390625,8,0,19,1.0,19,63.0888893757979,34.62536070302999,eptd,5,1.0,0.25,0.3
11.610422698364122,640,0,0.004139900207519531,10,0,20,1.0,20,2.3307761490331482,31.862922730452947,eptd,5,1.0,0.25,0.3
11.420263656254786,512,0,0.002151966094970703,8,0,20,1.0,20,2.979501988007019,27.426169864789,eptd,5,1.0,0.25,0.3
7.662767443834476,576,0,0.0060520172119140625,9,0,23,1.0,23,48.517568248170626,29.1917203427493,eptd,5,1.0,0.25,0.3
8.73800391615945,576,0,0.004561185836791992,9,0,20,1.0,20,2.9991819702115197,6.9748155716959275,eptd,5,1.0,0.25,0.3
7.122323691279128,640,0,0.006190776824951172,10,0,20,1.0,20,47.48025033503002,29.1918742248504,eptd,5,1.0,0.25,0.3
9.292161101557582,576,0,0.004948139190673828,9,0,21,1.0,21,2.601071657994666,4.439295021457822,eptd,5,1.0,0.25,0.3
10.756969131191331,768,0,0.005062103271484375,12,0,25,1.0,25,2.959300649605047,18.16277743418836,eptd,5,1.0,0.25,0.3
9.747597571660103,640,0,0.006102085113525391,10,0,22,1.0,22,5.447232036990014,13.832668293110476,eptd,5,1.0,0.25,0.3
9.066025631132039,832,0,0.0065310001373291016,13,0,24,1.0,24,8.85094530755966,14.873296086290694,eptd,5,1.0,0.25,0.3
7.720913414555548,576,0,0.00526118278503418,9,0,21,1.0,21,17.898041936190328,24.699213094648993,eptd,5,1.0,0.25,0.3
9.275803937164346,704,0,0.007948875427246094,11,0,24,1.0,24,7.0484732455843675,7.745071334051965,eptd,5,1.0,0.25,0.3
9.345565520240934,576,0,0.005825042724609375,9,0,22,1.0,22,5.6408142108918105,8.296989941401812,eptd,5,1.0,0.25,0.3
9.493452191327904,576,0,0.008109807968139648,9,0,22,1.0,22,4.486201680726954,10.446775115175443,eptd,5,1.0,0.25,0.3
10.765265670937946,640,0,0.006364107131958008,10,0,26,1.0,26,3.20191847139504,11.463291393731575,eptd,5,1.0,0.25,0.3
8.794318811759508,512,0,0.002972841262817383,8,0,22,1.0,22,20.05253121813632,25.40430779009472,eptd,5,1.0,0.25,0.3
