method,suite_idx,epsilon,rho,mal_rate,rounds,rmse_last,rmse_mean,rmse_std,var_mean,resid_var_mean,bytes_mean,enc_ops_mean,time_s_mean
fed_sense,1,0.5,0.2,0.1,60638,16.583123951780127,12.555475321112727,18.802614951183614,72.17249332217573,459.53285361616497,374.5306903261981,31.210890860516507,0.01064531568951042
dplp,1,0.5,0.2,0.1,60638,14.604199234696246,12.460693470378741,18.63753736316359,89.6053871754622,452.33008251643486,544.0517167452753,0.0,0.004739524581398607
eptd,1,0.5,0.2,0.1,60638,26.501994630560652,23.01794029083768,27.924850385638173,5.662697453045357,520.0114389065293,410.89059665556255,0.0,0.004956470488432494
ud_ldp,1,0.5,0.2,0.1,60638,19.95494461330866,16.03734004914683,21.62057929407361,114.63454546888875,635.6738018468976,548.0899765823411,0.0,0.008126474094444343
random,1,0.5,0.2,0.1,60638,14.584923722806273,12.491503353972048,18.666450433011097,94.37596814529961,454.4519690577905,500.1279725584617,0.0,0.0027448271709537633
etbp_td,1,0.5,0.2,0.1,60638,23.246505113672463,21.187158746165128,25.948328243538477,217.56082645561355,567.5735101826698,365.3933177215607,137.02249414558528,0.005774672248675761
