rmse,bytes,enc_ops,time_s,A_reports,B_reports,pickedA,route_ratio,Kp,var,resid_var,method,suite_idx,epsilon,rho,mal_rate
7.703212841353116,128,0,0.07081031799316406,2,0,3,1.0,3,57.87340234699767,31.383563790256943,eptd,3,1.0,0.15,0.0
25.461728459863085,128,0,0.0031747817993164062,2,0,3,1.0,3,51.61203800380068,182.31548155935624,eptd,3,1.0,0.15,0.0
24.344744675873766,128,0,0.0022661685943603516,2,0,3,1.0,3,1.075555449772699e-10,137.55579511120808,eptd,3,1.0,0.15,0.0
7.723431907063991,128,0,0.02253103256225586,2,0,3,1.0,3,26.77618605193521,34.57458525303959,eptd,3,1.0,0.15,0.0
0.8154301400472063,128,0,0.002318143844604492,2,0,3,1.0,3,1.4766164347790555e-06,0.22167571013700574,eptd,3,1.0,0.15,0.0
0.8149452780906207,128,0,0.0022437572479248047,2,0,3,1.0,3,3.1921847211461768e-06,0.2213921867757438,eptd,3,1.0,0.15,0.0
1.634789443672565,128,0,0.0017600059509277344,2,0,3,1.0,3,0.003977005932070842,1.0117795706978308,eptd,3,1.0,0.15,0.0
2.1383177795206265,128,0,0.001764059066772461,2,0,3,1.0,3,0.000501151489583874,0.635516318648699,eptd,3,1.0,0.15,0.0
4.197260918797917,128,0,0.0017778873443603516,2,0,3,1.0,3,20.85931466436066,13.190972886582884,eptd,3,1.0,0.15,0.0
5.786799903645386,128,0,0.0017321109771728516,2,0,3,1.0,3,39.42613846368864,9.542192554787578,eptd,3,1.0,0.15,0.0
15.632275454969525,128,0,0.002301931381225586,2,0,3,1.0,3,348.8339554340586,127.87331543405865,eptd,3,1.0,0.15,0.0
35.69582568177595,128,0,0.002177000045776367,2,0,3,1.0,3,245.7220035958039,585.1810917814902,eptd,3,1.0,0.15,0.0
51.313161033993076,128,0,0.0019409656524658203,2,0,3,1.0,3,637.0408739007439,1177.40296041069,eptd,3,1.0,0.15,0.0
60.677134411963834,128,0,0.0020220279693603516,2,0,3,1.0,3,499.01516628386577,1484.8404390068865,eptd,3,1.0,0.15,0.0
64.49117673020365,128,0,0.0022270679473876953,2,0,3,1.0,3,1251.4051860790285,2074.952559691979,eptd,3,1.0,0.15,0.0
76.40772109928437,128,0,0.0021789073944091797,2,0,3,1.0,3,5.668040219231457,704.4372594423563,eptd,3,1.0,0.15,0.0
38.31749542416185,128,0,0.0015442371368408203,2,0,3,1.0,3,2109.819211029608,596.7650740296084,eptd,3,1.0,0.15,0.0
49.405890226595446,128,0,0.0022430419921875,2,0,3,1.0,3,0.1894389799892671,473.2319005654965,eptd,3,1.0,0.15,0.0
20.866132823433496,128,0,0.002708911895751953,2,0,3,1.0,3,155.27352428466148,224.50349333481063,eptd,3,1.0,0.15,0.0
28.910128540328593,128,0,0.0022420883178710938,2,0,3,1.0,3,1278.9543904167417,835.4095580834086,eptd,3,1.0,0.15,0.0
