rmse,bytes,enc_ops,time_s,A_reports,B_reports,pickedA,route_ratio,Kp,var,resid_var,method,suite_idx,epsilon,rho,mal_rate
7.990963658792511,256,0,0.008355855941772461,4,0,8,1.0,8,81.90824655266226,25.88659685409024,eptd,3,1.0,0.15,0.0
7.23201108070695,576,0,0.00350189208984375,9,0,17,1.0,17,35.56585814598128,18.09795497361522,eptd,3,1.0,0.15,0.0
8.16129233345987,512,0,0.003119945526123047,8,0,19,1.0,19,63.088911565435616,34.62538597424513,eptd,3,1.0,0.15,0.0
11.61042221535286,640,0,0.003747701644897461,10,0,20,1.0,20,2.3307756937876887,31.862924704173953,eptd,3,1.0,0.15,0.0
11.420264496787034,512,0,0.002173900604248047,8,0,20,1.0,20,2.979502502761709,27.426175869669954,eptd,3,1.0,0.15,0.0
7.662767205524114,576,0,0.002043008804321289,9,0,23,1.0,23,48.51755548276767,29.19170676790629,eptd,3,1.0,0.15,0.0
8.73800319204502,576,0,0.0020389556884765625,9,0,20,1.0,20,2.999181334624452,6.974816244009682,eptd,3,1.0,0.15,0.0
7.122325081834854,640,0,0.0017316341400146484,10,0,20,1.0,20,47.48028292574544,29.191910275095786,eptd,3,1.0,0.15,0.0
9.292160996344448,576,0,0.0024619102478027344,9,0,21,1.0,21,2.601071589313163,4.439294789978572,eptd,3,1.0,0.15,0.0
10.756969684058237,768,0,0.0023641586303710938,12,0,25,1.0,25,2.959301042836959,18.162778266605947,eptd,3,1.0,0.15,0.0
9.747598451372827,640,0,0.002359151840209961,10,0,22,1.0,22,5.447233055560541,13.832667422960753,eptd,3,1.0,0.15,0.0
9.066023224221427,832,0,0.002485036849975586,13,0,24,1.0,24,8.85093985306497,14.873293468301789,eptd,3,1.0,0.15,0.0
7.720913288903557,576,0,0.001964092254638672,9,0,21,1.0,21,17.898051825456996,24.699228036484914,eptd,3,1.0,0.15,0.0
9.275803471295072,704,0,0.0029561519622802734,11,0,24,1.0,24,7.048472445902377,7.74507153990043,eptd,3,1.0,0.15,0.0
9.345564187292021,576,0,0.007439136505126953,9,0,22,1.0,22,5.640812750369462,8.296990082380171,eptd,3,1.0,0.15,0.0
9.493453195203115,576,0,0.002341747283935547,9,0,22,1.0,22,4.48620268900872,10.446774700090934,eptd,3,1.0,0.15,0.0
10.765264622806011,640,0,0.0027303695678710938,10,0,26,1.0,26,3.2019175079795636,11.463296339545224,eptd,3,1.0,0.15,0.0
8.794318785136563,512,0,0.0018820762634277344,8,0,22,1.0,22,20.05250831345879,25.404279150398146,eptd,3,1.0,0.15,0.0
9.067873827231107,576,0,0.0017828941345214844,9,0,22,1.0,22,22.629744514866612,30.565855721939307,eptd,3,1.0,0.15,0.0
8.98552836468343,512,0,0.0017211437225341797,8,0,22,1.0,22,28.508262151412286,36.38852842328547,eptd,3,1.0,0.15,0.0
8.880661699811938,640,0,0.0017559528350830078,10,0,23,1.0,23,16.572647959050123,25.858793087643186,eptd,3,1.0,0.15,0.0
9.205023940355487,576,0,0.001760721206665039,9,0,22,1.0,22,22.100836582556408,32.45314560057598,eptd,3,1.0,0.15,0.0
10.106417054085272,512,0,0.002641916275024414,8,0,23,1.0,23,43.157196259277406,55.283628928395274,eptd,3,1.0,0.15,0.0
10.383417372610822,640,0,0.0025908946990966797,10,0,24,1.0,24,27.84623894967579,51.75565663627657,eptd,3,1.0,0.15,0.0
10.819023600143655,704,0,0.003701925277709961,11,0,23,1.0,23,5.12447568378861,8.659519340518091,eptd,3,1.0,0.15,0.0
9.389221341925836,512,0,0.002440929412841797,8,0,20,1.0,20,35.74006954273031,46.82256054498795,eptd,3,1.0,0.15,0.0
11.74342263314995,704,0,0.004442930221557617,11,0,23,1.0,23,2.9476607621595776,13.270355357851225,eptd,3,1.0,0.15,0.0
9.700412792803219,576,0,0.0029571056365966797,9,0,23,1.0,23,34.187367909871725,42.72304321263153,eptd,3,1.0,0.15,0.0
11.836880998185165,256,0,0.002681732177734375,4,0,19,1.0,19,6.062168438143543,13.308473497894965,eptd,3,1.0,0.15,0.0
10.694088243630139,512,0,0.0019159317016601562,8,0,21,1.0,21,25.654093753306434,48.90653923291678,eptd,3,1.0,0.15,0.0
10.582183003425024,512,0,0.00197601318359375,8,0,22,1.0,22,39.060776760558106,52.58886035318467,eptd,3,1.0,0.15,0.0
11.68427048782039,512,0,0.002140045166015625,8,0,21,1.0,21,25.931993843924953,71.56866551006479,eptd,3,1.0,0.15,0.0
11.639440697502874,448,0,0.0022530555725097656,7,0,18,1.0,18,23.88883495911783,57.52277263567763,eptd,3,1.0,0.15,0.0
10.038368252891221,576,0,0.0019378662109375,9,0,20,1.0,20,29.241046176215626,36.300105082055794,eptd,3,1.0,0.15,0.0
12.59738441097533,320,0,0.002042055130004883,5,0,18,1.0,18,84.44559126749103,93.52762962725029,eptd,3,1.0,0.15,0.0
10.542232730517615,448,0,0.003167867660522461,7,0,20,1.0,20,57.091756191029695,68.1179441624348,eptd,3,1.0,0.15,0.0
9.37142413731587,320,0,0.0030019283294677734,5,0,14,1.0,14,24.752387656037268,24.3851331900608,eptd,3,1.0,0.15,0.0
11.811291207391795,384,0,0.002740144729614258,6,0,18,1.0,18,33.250129068256136,58.29032503978663,eptd,3,1.0,0.15,0.0
11.945146749711304,384,0,0.002874135971069336,6,0,17,1.0,17,6.315097991379976,15.385385268152632,eptd,3,1.0,0.15,0.0
10.069005782190926,320,0,0.0019001960754394531,5,0,17,1.0,17,34.22601869263473,30.5959062543514,eptd,3,1.0,0.15,0.0
