rmse,var,resid_var,bytes,enc_ops,time_s,iters,workers,entities,method,suite_idx,epsilon,rho,mal_rate
7.990966096312859,81.90820118062051,25.886555399115707,288,36,0.007551908493041992,1.0,1.0,8.0,etbp_td,3,1.0,0.15,0.0
7.23201459523014,35.565889645947976,18.09796931018008,1056,132,0.0449070930480957,1.0,1.0,17.0,etbp_td,3,1.0,0.15,0.0
8.161294403587647,63.08892759032764,34.625403239339015,1104,138,0.022802352905273438,1.0,1.0,19.0,etbp_td,3,1.0,0.15,0.0
7.0967202382306125,47.262404396979775,22.029920450162162,2304,288,0.00935506820678711,1.0,2.0,20.0,etbp_td,3,1.0,0.15,0.0
7.801027782158832,40.58403064378509,23.284941146736205,2736,342,0.0031778812408447266,1.0,2.0,20.0,etbp_td,3,1.0,0.15,0.0
7.662766730563413,48.517529473231846,29.1916799009147,1392,174,0.0066568851470947266,1.0,1.0,23.0,etbp_td,3,1.0,0.15,0.0
6.919509100225836,16.900756238688416,21.46318322993961,2640,330,0.009730100631713867,1.0,2.0,20.0,etbp_td,3,1.0,0.15,0.0
7.122321143094704,47.480190709049296,29.191807715773876,1680,210,0.004745006561279297,1.0,1.0,20.0,etbp_td,3,1.0,0.15,0.0
8.119244162490164,31.49411868404506,40.34498073570225,2496,312,0.006797075271606445,1.0,2.0,21.0,etbp_td,3,1.0,0.15,0.0
7.738901016507107,38.400589103753134,27.66855187890616,2496,312,0.007203817367553711,1.0,2.0,25.0,etbp_td,3,1.0,0.15,0.0
8.08908932724202,21.250835105673296,33.93759640052367,2304,288,0.010769128799438477,1.0,2.0,22.0,etbp_td,3,1.0,0.15,0.0
7.368201169741316,25.825531806716256,36.32732400645145,4224,528,0.008639097213745117,1.0,2.0,24.0,etbp_td,3,1.0,0.15,0.0
7.720913575916204,17.898029163761496,24.69919408526585,1392,174,0.0059299468994140625,1.0,1.0,21.0,etbp_td,3,1.0,0.15,0.0
7.545551429694692,24.309969382538274,28.791319361526988,2928,366,0.009198904037475586,1.0,2.0,24.0,etbp_td,3,1.0,0.15,0.0
7.8433044084762775,22.949425422450158,28.774046161291196,2112,264,0.009443044662475586,1.0,2.0,22.0,etbp_td,3,1.0,0.15,0.0
7.90819812230409,20.14121928243822,27.857757496190672,2352,294,0.009423971176147461,1.0,2.0,22.0,etbp_td,3,1.0,0.15,0.0
9.1660933304575,17.922157739075196,30.021945209555273,2112,264,0.004010915756225586,1.0,2.0,26.0,etbp_td,3,1.0,0.15,0.0
8.794318748700674,20.05248168152516,25.404245907160092,1152,144,0.008455276489257812,1.0,1.0,22.0,etbp_td,3,1.0,0.15,0.0
9.067874458026418,22.629741341823724,30.565852179009482,1200,150,0.003092050552368164,1.0,1.0,22.0,etbp_td,3,1.0,0.15,0.0
8.985529448428588,28.50822244223122,36.38849542605208,1200,150,0.003947019577026367,1.0,1.0,22.0,etbp_td,3,1.0,0.15,0.0
8.88066290315683,16.57261404728071,25.858758236752614,1632,204,0.0038840770721435547,1.0,1.0,23.0,etbp_td,3,1.0,0.15,0.0
9.205023926298912,22.100828098231474,32.45313590930378,1536,192,0.004751920700073242,1.0,1.0,22.0,etbp_td,3,1.0,0.15,0.0
10.106416758274731,43.15717059332008,55.28359931133893,1296,162,0.0027000904083251953,1.0,1.0,23.0,etbp_td,3,1.0,0.15,0.0
10.383417085567991,27.84620852298313,51.75562182908549,1776,222,0.007814884185791016,1.0,1.0,24.0,etbp_td,3,1.0,0.15,0.0
8.254388429180631,33.77980139175679,38.04021636037509,1632,204,0.004296779632568359,1.0,2.0,23.0,etbp_td,3,1.0,0.15,0.0
9.389221297875594,35.740049027323735,46.8225433937301,864,108,0.007868766784667969,1.0,1.0,20.0,etbp_td,3,1.0,0.15,0.0
8.972950674657847,35.82271230781284,41.654064468632384,2064,258,0.003340005874633789,1.0,2.0,23.0,etbp_td,3,1.0,0.15,0.0
9.700411167057691,34.18728133811761,42.722954167281074,1152,144,0.004901885986328125,1.0,1.0,23.0,etbp_td,3,1.0,0.15,0.0
10.939216373410922,17.554697661267635,25.723309090065044,864,108,0.002856016159057617,1.0,2.0,19.0,etbp_td,3,1.0,0.15,0.0
10.694087518641698,25.65402625195603,48.906456376743165,1104,138,0.0032401084899902344,1.0,1.0,21.0,etbp_td,3,1.0,0.15,0.0
10.582183411098203,39.06073482909201,52.588816837118834,1104,138,0.0031130313873291016,1.0,1.0,22.0,etbp_td,3,1.0,0.15,0.0
11.684270336368616,25.931979442714518,71.56864776924301,1008,126,0.0028269290924072266,1.0,1.0,21.0,etbp_td,3,1.0,0.15,0.0
11.639441548146099,23.888786407850436,57.52272219878773,912,114,0.006879091262817383,1.0,1.0,18.0,etbp_td,3,1.0,0.15,0.0
9.759481701596117,33.99133328017184,42.55681687549299,1008,126,0.010407209396362305,1.0,1.0,20.0,etbp_td,3,1.0,0.15,0.0
12.597384232241414,84.44551149537152,93.52756907898133,624,78,0.005232810974121094,1.0,1.0,18.0,etbp_td,3,1.0,0.15,0.0
10.542231415561139,57.09169966528536,68.11787972415593,672,84,0.009942054748535156,1.0,1.0,20.0,etbp_td,3,1.0,0.15,0.0
9.371428934893672,24.75232701495622,24.385110726954345,432,54,0.003098011016845703,1.0,1.0,14.0,etbp_td,3,1.0,0.15,0.0
11.811291877597805,33.25011192798859,58.29030550860697,672,84,0.010396957397460938,1.0,1.0,18.0,etbp_td,3,1.0,0.15,0.0
10.428820121261356,32.48541496369878,48.05703593987612,1200,150,0.005081892013549805,1.0,2.0,17.0,etbp_td,3,1.0,0.15,0.0
