rmse,rmse_raw,bytes,enc_ops,time_s,A_reports,B_reports,C_reports,pickedA,Kp,route_ratio,var,resid_var,tau_percentile,A_budget_ratio,accountant_mode,epsilon_round,epsilon_cum_window,epsilon_limit,filter_triggered,shuffle_used,epsilon_effective,geo_r_protect,vdaf_ok_ratio,reject_ratio,vdaf_http,dap_mode,batch_key,collect_id,bandit_profile,bandit_Q,method,suite_idx,epsilon,rho,mal_rate
1.7540034334082082,1.7540034334082082,192,12,0.007792949676513672,3,3,0,1,1,0.124999999984375,40.877986313825225,2.650555707770668,80.0,0.178848,pld,1.0,1.0906519564178663,32.0,False,True,0.9999990000007779,,,,False,dryrun,2025-01-01 00:00:00+00:00,,balanced,0.9333075495486877,sa_htd_paper,3,1.0,0.15,0.0
3.521413437217935,3.7231269100761812,704,44,0.004454135894775391,8,14,0,2,2,0.117647058816609,14.62393146835773,10.92948356383502,85.0,0.178848,pld,1.0,1.9857140066781185,32.0,False,True,0.8950620502602523,,,,False,dryrun,2025-01-01 00:05:00+00:00,,balanced,0.8562998020976577,sa_htd_paper,3,1.0,0.15,0.0
3.109436585661433,3.371080888157445,736,46,0.00391697883605957,1,22,0,1,1,0.10526315788919667,21.33345363047052,9.51366153978139,90.0,0.178848,pld,1.0,3.0728163112365934,32.0,False,True,1.0871023045584747,,,,False,dryrun,2025-01-01 00:10:00+00:00,,balanced,0.8204498287655188,sa_htd_paper,3,1.0,0.15,0.0
2.944740203974438,3.7489452550889943,1536,96,0.004420280456542969,2,46,0,1,1,0.1499999999925,19.97455159886962,8.624363392579472,95.0,0.178848,pld,1.0,3.905036761485117,32.0,False,True,0.8322204502485235,,,,False,dryrun,2025-01-01 00:15:00+00:00,,balanced,0.803222381194259,sa_htd_paper,3,1.0,0.15,0.0
2.6774685100317788,2.89599753129279,1824,114,0.005034923553466797,12,45,0,2,2,0.1499999999925,16.061356150983336,6.898076190983223,95.0,0.178848,pld,1.0,4.8189967353603524,32.0,False,True,0.9139599738752353,,,,False,dryrun,2025-01-01 00:20:00+00:00,,balanced,0.8106254086310956,sa_htd_paper,3,1.0,0.15,0.0
1.9341231242784498,2.548639099426617,928,58,0.0041599273681640625,3,26,0,1,1,0.13043478260302457,16.064816240827348,3.6099717090558667,95.0,0.178848,pld,1.0,5.873338316613673,32.0,False,True,1.05434158125332,,,,False,dryrun,2025-01-01 00:25:00+00:00,,balanced,0.7913221048293327,sa_htd_paper,3,1.0,0.15,0.0
2.0810492192458314,2.2776597250771196,1760,110,0.0052988529205322266,8,47,0,2,2,0.1499999999925,3.8362581529980653,4.236948025983205,95.0,0.178848,pld,1.0,6.906717735743005,32.0,False,True,1.0333794191293324,,,,False,dryrun,2025-01-01 00:30:00+00:00,,balanced,0.857421073561333,sa_htd_paper,3,1.0,0.15,0.0
2.425136098773351,2.662533419426209,1120,70,0.0053288936614990234,2,33,0,2,2,0.1499999999925,17.591138488910882,5.854375026980554,95.0,0.178848,pld,1.0,7.915062582578434,32.0,False,True,1.008344846835429,,,,False,dryrun,2025-01-01 00:35:00+00:00,,balanced,0.8483539627576687,sa_htd_paper,3,1.0,0.15,0.0
2.1004828713257067,3.5154304391306987,1664,104,0.007850885391235352,8,44,0,2,2,0.14285714285034012,2.9148415131905696,4.24017432830029,95.0,0.178848,pld,1.0,8.973224233266501,32.0,False,True,1.0581616506880664,,,,False,dryrun,2025-01-01 00:40:00+00:00,,balanced,0.9261939307218009,sa_htd_paper,3,1.0,0.15,0.0
2.7830886621537996,3.2263380830428825,1664,104,0.0045146942138671875,5,47,0,1,1,0.0799999999968,15.48699062942464,7.7279733811659685,95.0,0.12519360000000002,pld,0.9,9.7461375783637,32.0,False,True,0.7729133450971977,,,,False,dryrun,2025-01-01 00:45:00+00:00,,budget,0.8756603355833852,sa_htd_paper,3,1.0,0.15,0.0
