rmse,var,resid_var,bytes,enc_ops,time_s,A_reports,B_reports,pickedA,route_ratio,target_route_ratio,A_part_count,ldp_var_used,method,suite_idx,epsilon,rho,mal_rate
2.6706461137710744,32.739841619112944,3.2556354833726964,96,0,0.004686832427978516,0,6,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
3.998938038136617,9.952604128775913,9.806008245742637,352,0,0.020373106002807617,0,22,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.72748399304629,18.891842402223407,7.266663180869701,368,0,0.03782773017883301,0,23,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
3.098774879478661,14.205434937653859,8.34279238400909,432,0,0.0056149959564208984,0,27,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
5.59104320388529,0.005795744713202501,21.259744616762067,1600,50,0.006040096282958984,25,0,1,1.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
1.799463525974034,12.269279574959178,3.224318162472027,896,18,0.03810381889343262,9,20,9,0.3103448275862069,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.813295304156645,0.006810952196307567,2.4235595509916603,1344,42,0.012882232666015625,21,0,1,1.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.836953027633893,19.535171268143742,7.842471371514151,992,18,0.008847951889038086,9,26,10,0.2571428571428571,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
3.0241591958722767,4.734831508303695,9.093963167188596,576,0,0.011149883270263672,0,36,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.614085466091453,10.961206862896766,6.382303172866241,848,14,0.011734247207641602,7,25,11,0.21875,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.868299776492749,1.8387418903541504,6.65996762961862,912,16,0.010900259017944336,8,25,9,0.24242424242424243,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.293496160298141,0.45802109321441153,3.863360544063974,2944,82,0.005387067794799805,41,20,3,0.6721311475409836,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.26826333469393,1.4233333188473924,2.648787764091616,464,0,0.007838964462280273,0,29,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
1.9687143024953448,0.0866082622976716,3.3204983375006663,1344,32,0.004743814468383789,16,20,2,0.4444444444444444,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.059780372713415,0.003579579743036082,2.489772259979975,1024,32,0.0030100345611572266,16,0,1,1.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.38463028967991,1.9680305192362681,4.836812850943013,816,14,0.008313894271850586,7,23,8,0.23333333333333334,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
3.562438754222161,1.1237485450577933,7.1817198607947095,304,0,0.006232738494873047,0,19,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.1797795354499594,0.5557883720403475,2.8524582745622555,384,0,0.007601022720336914,0,24,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
3.2396543018340056,2.9214208867860694,6.005481060336849,400,0,0.009643077850341797,0,25,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.4553460262348703,1.2775093835697022,5.8751554173545175,400,0,0.0072629451751708984,0,25,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
3.449776366374756,1.1802805113114796,5.882077397078808,544,0,0.008810997009277344,0,34,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.7107789839749787,1.5610327936829849,3.56945188123032,848,14,0.007924079895019531,7,25,9,0.21875,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.965490737697846,2.438590851648283,8.146438690522604,816,16,0.008424758911132812,8,19,8,0.2962962962962963,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
4.101814522615253,1.4557557409769437,12.57921321912612,1360,32,0.009757757186889648,16,21,10,0.43243243243243246,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.022326312600408,1.5821944483802013,3.7468186076478465,368,0,0.007895231246948242,0,23,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.1298624093130716,0.9928571654480685,4.212564039523224,288,0,0.012176752090454102,0,18,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.8133512780467598,3.5563837931977518,7.421721314639237,528,0,0.008337020874023438,0,33,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.1649894482605236,2.9269873811830553,4.60433275868021,384,0,0.006836891174316406,0,24,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
2.6757404233205597,0.009216319509115589,5.597436425011152,448,14,0.004599809646606445,7,0,1,1.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
4.422922463269134,4.385090223509759,17.532812786554388,368,0,0.007486104965209961,0,23,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
3.4527520421230595,3.3198419874549283,11.357880967170287,368,0,0.00533294677734375,0,23,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,1,0.5,0.2,0.1
