rmse,var,resid_var,bytes,enc_ops,time_s,iters,workers,entities,method,suite_idx,epsilon,rho,mal_rate
7.990966096312859,81.90820118062051,25.886555399115707,288,36,0.004128932952880859,1.0,1.0,8.0,etbp_td,1,0.5,0.2,0.1
7.23201459523014,35.565889645947976,18.09796931018008,1056,132,0.006075143814086914,1.0,1.0,17.0,etbp_td,1,0.5,0.2,0.1
8.161294403587647,63.08892759032764,34.625403239339015,1104,138,0.007143974304199219,1.0,1.0,19.0,etbp_td,1,0.5,0.2,0.1
7.428088106114572,48.31007814670163,22.991633130496894,1296,162,0.0067272186279296875,1.0,1.0,20.0,etbp_td,1,0.5,0.2,0.1
11.420266624380861,2.9795038550523225,27.426191335497293,1200,150,0.004650115966796875,1.0,1.0,20.0,etbp_td,1,0.5,0.2,0.1
7.662766730563413,48.517529473231846,29.1916799009147,1392,174,0.007184267044067383,1.0,1.0,23.0,etbp_td,1,0.5,0.2,0.1
8.738006678418513,2.999184298139266,6.974813034667287,1008,126,0.0046880245208740234,1.0,1.0,20.0,etbp_td,1,0.5,0.2,0.1
7.122321143094704,47.480190709049296,29.191807715773876,1680,210,0.007420063018798828,1.0,1.0,20.0,etbp_td,1,0.5,0.2,0.1
8.381688301784413,31.772854803319536,40.89781458932051,1728,216,0.0072917938232421875,1.0,1.0,21.0,etbp_td,1,0.5,0.2,0.1
7.8740594278555145,38.39111659022997,25.66893576050536,1536,192,0.007929086685180664,1.0,1.0,25.0,etbp_td,1,0.5,0.2,0.1
8.167640696203893,19.264895297558446,29.238636736352657,1584,198,0.0070819854736328125,1.0,1.0,22.0,etbp_td,1,0.5,0.2,0.1
9.066027070342297,8.850949067117655,14.873298346627614,2928,366,0.0046100616455078125,1.0,1.0,24.0,etbp_td,1,0.5,0.2,0.1
7.720913575916204,17.898029163761496,24.69919408526585,1392,174,0.007801055908203125,1.0,1.0,21.0,etbp_td,1,0.5,0.2,0.1
9.275805204129444,7.0484762474914815,7.745071694213593,1728,216,0.0026972293853759766,1.0,1.0,24.0,etbp_td,1,0.5,0.2,0.1
9.345566131220176,5.640815487884722,8.296990515174938,768,96,0.003589153289794922,1.0,1.0,22.0,etbp_td,1,0.5,0.2,0.1
7.9853234323350355,18.462579605294042,23.426010564323747,1440,180,0.007166147232055664,1.0,1.0,22.0,etbp_td,1,0.5,0.2,0.1
9.262554911755338,16.775056598243694,26.412039560104695,912,114,0.0064237117767333984,1.0,1.0,26.0,etbp_td,1,0.5,0.2,0.1
8.794318748700674,20.05248168152516,25.404245907160092,1152,144,0.007487058639526367,1.0,1.0,22.0,etbp_td,1,0.5,0.2,0.1
9.067874458026418,22.629741341823724,30.565852179009482,1200,150,0.008826017379760742,1.0,1.0,22.0,etbp_td,1,0.5,0.2,0.1
8.985529448428588,28.50822244223122,36.38849542605208,1200,150,0.0077707767486572266,1.0,1.0,22.0,etbp_td,1,0.5,0.2,0.1
8.88066290315683,16.57261404728071,25.858758236752614,1632,204,0.006546974182128906,1.0,1.0,23.0,etbp_td,1,0.5,0.2,0.1
9.205023926298912,22.100828098231474,32.45313590930378,1536,192,0.005400896072387695,1.0,1.0,22.0,etbp_td,1,0.5,0.2,0.1
10.106416758274731,43.15717059332008,55.28359931133893,1296,162,0.010280847549438477,1.0,1.0,23.0,etbp_td,1,0.5,0.2,0.1
10.383417085567991,27.84620852298313,51.75562182908549,1776,222,0.005823850631713867,1.0,1.0,24.0,etbp_td,1,0.5,0.2,0.1
8.478856542204774,33.40948355633568,36.26808959687232,1104,138,0.005744218826293945,1.0,1.0,23.0,etbp_td,1,0.5,0.2,0.1
9.389221297875594,35.740049027323735,46.8225433937301,864,108,0.005919933319091797,1.0,1.0,20.0,etbp_td,1,0.5,0.2,0.1
9.066091334867398,36.4844620015491,38.63664565038385,1584,198,0.007622957229614258,1.0,1.0,23.0,etbp_td,1,0.5,0.2,0.1
9.700411167057691,34.18728133811761,42.722954167281074,1152,144,0.005616188049316406,1.0,1.0,23.0,etbp_td,1,0.5,0.2,0.1
11.83688401690714,6.062172287459482,13.308472634407638,336,42,0.004253864288330078,1.0,1.0,19.0,etbp_td,1,0.5,0.2,0.1
10.694087518641698,25.65402625195603,48.906456376743165,1104,138,0.007807016372680664,1.0,1.0,21.0,etbp_td,1,0.5,0.2,0.1
10.582183411098203,39.06073482909201,52.588816837118834,1104,138,0.006966590881347656,1.0,1.0,22.0,etbp_td,1,0.5,0.2,0.1
11.684270336368616,25.931979442714518,71.56864776924301,1008,126,0.005222797393798828,1.0,1.0,21.0,etbp_td,1,0.5,0.2,0.1
11.639441548146099,23.888786407850436,57.52272219878773,912,114,0.005086421966552734,1.0,1.0,18.0,etbp_td,1,0.5,0.2,0.1
9.759481701596117,33.99133328017184,42.55681687549299,1008,126,0.009149312973022461,1.0,1.0,20.0,etbp_td,1,0.5,0.2,0.1
12.597384232241414,84.44551149537152,93.52756907898133,624,78,0.00678706169128418,1.0,1.0,18.0,etbp_td,1,0.5,0.2,0.1
10.542231415561139,57.09169966528536,68.11787972415593,672,84,0.007161855697631836,1.0,1.0,20.0,etbp_td,1,0.5,0.2,0.1
9.371428934893672,24.75232701495622,24.385110726954345,432,54,0.0061800479888916016,1.0,1.0,14.0,etbp_td,1,0.5,0.2,0.1
11.811291877597805,33.25011192798859,58.29030550860697,672,84,0.0053250789642333984,1.0,1.0,18.0,etbp_td,1,0.5,0.2,0.1
10.679365050364021,30.55742876221989,43.16126165791537,672,84,0.005419015884399414,1.0,1.0,17.0,etbp_td,1,0.5,0.2,0.1
