rmse,var,resid_var,bytes,enc_ops,time_s,var_lap,method,suite_idx,epsilon,rho,mal_rate
2.395611220967249,40.48554116606089,3.3673215427419994,288,0,0.0017101764678955078,8.0,pure_ldp,0,0.5,0.15,0.0
3.444856545324674,13.973573744617264,7.4574159669864075,1056,0,0.016933917999267578,8.0,pure_ldp,0,0.5,0.15,0.0
2.9883467979486897,27.968874854890846,8.91708509600668,1104,0,0.002763032913208008,8.0,pure_ldp,0,0.5,0.15,0.0
3.1498418731624276,21.056515300974294,8.965810880446472,1296,0,0.0032448768615722656,8.0,pure_ldp,0,0.5,0.15,0.0
5.550553114535812,0.010928569937745006,21.319850814184246,1200,0,0.0012671947479248047,8.0,pure_ldp,0,0.5,0.15,0.0
1.8524443461984395,18.294116206428328,3.170148990768389,1392,0,0.002881765365600586,8.0,pure_ldp,0,0.5,0.15,0.0
2.7292181893557217,0.10155171024545546,2.7414992642042284,1008,0,0.001207113265991211,8.0,pure_ldp,0,0.5,0.15,0.0
2.5249143335859556,17.04376052190801,6.360607251393934,1680,0,0.01071786880493164,8.0,pure_ldp,0,0.5,0.15,0.0
3.4197446311470276,6.730321628118262,11.68160072307818,1728,0,0.007576942443847656,8.0,pure_ldp,0,0.5,0.15,0.0
4.484922175053489,0.05198842131830578,13.529105036345399,960,0,0.0012640953063964844,8.0,pure_ldp,0,0.5,0.15,0.0
2.9176175083850957,2.427009461002965e-26,5.672413518988978,720,0,0.0036132335662841797,8.0,pure_ldp,0,0.5,0.15,0.0
2.7571264824222546,3.7624852364489443,7.539384013956024,1296,0,0.0019049644470214844,8.0,pure_ldp,0,0.5,0.15,0.0
2.407634663196878,2.2093326025790256,3.4551338606937927,1392,0,0.00887298583984375,8.0,pure_ldp,0,0.5,0.15,0.0
2.089301029159791,2.0045454121432154,4.343170079674873,1200,0,0.002657175064086914,8.0,pure_ldp,0,0.5,0.15,0.0
2.1085882019071365,0.01721551569147931,2.5086487796504886,768,0,0.0016131401062011719,8.0,pure_ldp,0,0.5,0.15,0.0
2.1131280591372743,0.12260436202937385,3.7851965794321347,912,0,0.0015549659729003906,8.0,pure_ldp,0,0.5,0.15,0.0
3.6655149218885628,1.2301951326565403,7.232002935303471,912,0,0.0023000240325927734,8.0,pure_ldp,0,0.5,0.15,0.0
2.131684268544428,0.48683342213192576,2.8719478871304984,1152,0,0.01110076904296875,8.0,pure_ldp,0,0.5,0.15,0.0
3.2039005913975096,3.7910557678448664,6.5792084293934785,1200,0,0.011505126953125,8.0,pure_ldp,0,0.5,0.15,0.0
2.3909034385089725,1.513025114757247,5.624859834745487,1200,0,0.005251646041870117,8.0,pure_ldp,0,0.5,0.15,0.0
3.441452924192737,0.8232459182549504,5.341155354983458,1632,0,0.0019121170043945312,8.0,pure_ldp,0,0.5,0.15,0.0
