method,suite_idx,epsilon,rho,mal_rate,rounds,rmse_last,rmse_mean,rmse_std,var_mean,resid_var_mean,bytes_mean,enc_ops_mean,time_s_mean
fed_sense,8,4.0,0.2,0.1,17379,6.837218876611556,81.79273568046021,121.38643752926993,10653.261472541093,11334.589531420826,45.03089936129812,3.752574946774843,0.6013353898888922
dplp,8,4.0,0.2,0.1,17379,7.572366147941287,73.45014880866347,123.0078766328164,15609.569263281099,11952.389834223983,70.48506818574141,0.0,0.001158620060172713
eptd,8,4.0,0.2,0.1,17379,31.787471606138354,124.24772184508491,122.37666879378038,2697.0435111258575,9378.492196421772,192.0,0.0,0.003612476591754134
ud_ldp,8,4.0,0.2,0.1,17379,7.515763455916718,73.3174895517288,122.7066826831534,15549.357627868865,11906.412613026987,72.0,0.0,0.0022325713434608423
random,8,4.0,0.2,0.1,17379,6.8372188766112245,75.03327560686415,131.1340389136662,17044.126279750526,13461.448128225857,53.0792335577421,0.0,0.0014851453684438009
etbp_td,8,4.0,0.2,0.1,17379,21.59201291009701,83.45762180412603,126.86940698814004,22205.594437743803,15993.189101465912,144.0,18.0,0.0019912942931020867
