method,suite_idx,epsilon,rho,mal_rate,rounds,rmse_last,rmse_mean,rmse_std,var_mean,resid_var_mean,bytes_mean,enc_ops_mean,time_s_mean
sa_htd_paper,1,0.5,0.2,0.1,7683,2.7347431464064456,3.0120915244249407,1.2088750448224728,13.773211712601453,7.060533861801549,1086.912924638813,67.9320577899258,0.001310978707866279
fed_sense,1,0.5,0.2,0.1,7683,2.5766363947218793,3.887720893205047,3.531072882616579,9.497604372603245,8.6433069918132,714.0866848887154,59.50722374072628,0.005555395314768859
dplp,1,0.5,0.2,0.1,7683,3.158815195828738,4.140251707262816,3.4541146047024296,12.234237999709572,10.004033205047348,1123.2799687622023,0.0,0.002386027972524122
eptd,1,0.5,0.2,0.1,7683,10.565755932468157,9.672857712653999,2.4701896917572386,22.161929353016895,27.992157457543648,430.09032929845114,0.0,0.002685619086380134
ud_ldp,1,0.5,0.2,0.1,7683,6.991503781485795,8.840164258075317,3.3978038804582305,24.011038918518725,41.273857365306625,1630.3693869582194,0.0,0.003415970291521002
random,1,0.5,0.2,0.1,7683,2.5260492076976497,4.105113339228673,3.512408790832709,12.308510084232518,10.136063592903994,791.8531823506443,0.0,0.00216968031921347
etbp_td,1,0.5,0.2,0.1,7683,8.680231472564719,7.99088202995396,2.166810567112686,40.56890240738448,32.834677398252744,1630.3693869582194,203.79617336977742,0.004951269633134144
