rmse,rmse_raw,bytes,enc_ops,time_s,A_reports,B_reports,C_reports,pickedA,Kp,route_ratio,var,resid_var,tau_percentile,A_budget_ratio,accountant_mode,epsilon_round,epsilon_cum_window,epsilon_limit,filter_triggered,shuffle_used,epsilon_effective,geo_r_protect,vdaf_ok_ratio,reject_ratio,vdaf_http,dap_mode,batch_key,collect_id,bandit_profile,bandit_Q,method,suite_idx,epsilon,rho,mal_rate
2.7033530774289205,2.7033530774289205,192,12,0.0012259483337402344,3,3,0,1,1,0.124999999984375,44.39001455564252,5.489358625085479,70.0,0.20995200000000003,pld,1.0,1.0906519564178663,32.0,False,True,0.9999990000007779,,,,False,dryrun,2025-01-01 00:00:00+00:00,,balanced,0.3579073004106954,sa_htd_paper,4,1.0,0.2,0.1
3.576592046392755,3.5941956140422935,704,44,0.00563812255859375,6,16,0,1,1,0.0588235294083045,20.181815618611296,12.054017386296223,75.0,0.12519360000000002,pld,0.9,1.85415264501133,32.0,False,True,0.7635006885934637,,,,False,dryrun,2025-01-01 00:05:00+00:00,,budget,0.9025909485907302,sa_htd_paper,4,1.0,0.2,0.1
3.4266448424140963,3.5979768951118056,736,46,0.001687765121459961,4,19,0,1,1,0.10526315788919667,24.251532974707867,11.54090659982308,75.0,0.19440000000000002,pld,1.0,3.0087008486885254,32.0,False,True,1.154548203677195,,,,False,dryrun,2025-01-01 00:10:00+00:00,,balanced,0.4592073346642794,sa_htd_paper,4,1.0,0.2,0.1
2.769795485641853,3.4558249879009493,1536,96,0.0028488636016845703,4,44,0,2,2,0.1499999999925,21.57945499520904,7.5852375618008665,80.0,0.178848,pld,1.0,3.7723688492337204,32.0,False,True,0.7636680005451948,,,,False,dryrun,2025-01-01 00:15:00+00:00,,balanced,0.49892395939707207,sa_htd_paper,4,1.0,0.2,0.1
2.676826789146877,2.847276952171775,1824,114,0.0029859542846679688,10,47,0,2,2,0.1499999999925,17.453142554084245,6.864872057637653,85.0,0.178848,pld,1.0,4.632082829354173,32.0,False,True,0.8597139801204536,,,,False,dryrun,2025-01-01 00:20:00+00:00,,balanced,0.533036256645184,sa_htd_paper,4,1.0,0.2,0.1
1.6902079323261412,2.095476599457765,928,58,0.0014960765838623047,5,24,0,2,2,0.13043478260302457,15.590604363101008,2.7740281504412296,85.0,0.19440000000000002,pld,1.0,5.602108809146762,32.0,False,True,0.9700259797925893,,,,False,dryrun,2025-01-01 00:25:00+00:00,,balanced,0.5056873438795646,sa_htd_paper,4,1.0,0.2,0.1
2.048890832939113,2.2630128498546873,1760,110,0.0017559528350830078,8,47,0,2,2,0.1499999999925,3.6161527510260685,4.1234905054544635,85.0,0.19440000000000002,pld,1.0,6.663110956431104,32.0,False,True,1.0610021472843412,,,,False,dryrun,2025-01-01 00:30:00+00:00,,balanced,0.5696374234252514,sa_htd_paper,4,1.0,0.2,0.1
2.291804798478239,2.801887285449947,1120,70,0.0029129981994628906,3,32,0,2,2,0.1499999999925,17.061032046243465,5.205603411858376,90.0,0.178848,pld,1.0,7.758500950285184,32.0,False,True,1.09538999385408,,,,False,dryrun,2025-01-01 00:35:00+00:00,,balanced,0.5641300409818576,sa_htd_paper,4,1.0,0.2,0.1
2.1023278206476066,3.4783355947353503,1664,104,0.0035250186920166016,11,41,0,2,2,0.14285714285034012,3.051963409907568,4.249659739541118,95.0,0.178848,pld,1.0,8.884302335483316,32.0,False,True,1.1258013851981317,,,,False,dryrun,2025-01-01 00:40:00+00:00,,balanced,0.6332610230400804,sa_htd_paper,4,1.0,0.2,0.1
2.9275322535000114,3.3713342174076417,1664,104,0.0019991397857666016,6,46,0,2,2,0.1199999999952,15.137749121981283,8.54949411660632,95.0,0.19440000000000002,pld,1.0,9.833075460551465,32.0,False,True,0.9487731250681493,,,,False,dryrun,2025-01-01 00:45:00+00:00,,balanced,0.6344652386213412,sa_htd_paper,4,1.0,0.2,0.1
2.962099537922792,3.8136893608957823,1536,96,0.0020232200622558594,3,45,0,1,1,0.136363636357438,4.024030822331018,8.773922155725005,95.0,0.19440000000000002,pld,1.0,10.5898476853391,32.0,False,True,0.7567722247876354,,,,False,dryrun,2025-01-01 00:50:00+00:00,,balanced,0.6572657885886491,sa_htd_paper,4,1.0,0.2,0.1
2.2187546028370018,3.005857796852469,2816,176,0.003314971923828125,4,84,0,2,2,0.12499999999479167,2.838567765973894,4.88400116258994,95.0,0.178848,pld,1.0,11.771245518279057,32.0,False,True,1.181397832939958,,,,False,dryrun,2025-01-01 00:55:00+00:00,,balanced,0.6853278739578615,sa_htd_paper,4,1.0,0.2,0.1
1.6828366551336853,1.8702852608710345,928,58,0.0022301673889160156,3,26,0,1,1,0.0952380952335601,3.1882584506388385,2.8205087392420083,95.0,0.12519360000000002,pld,0.9,12.877668574150347,32.0,False,True,1.1064230558712889,,,,False,dryrun,2025-01-01 01:00:00+00:00,,budget,0.8807701186163414,sa_htd_paper,4,1.0,0.2,0.1
2.3842058304479097,2.804007776552986,1952,122,0.0033419132232666016,4,57,0,2,2,0.12499999999479167,3.7104910579220847,5.570454089035323,95.0,0.178848,pld,1.0,13.967787509790117,32.0,False,True,1.0901189356397714,,,,False,dryrun,2025-01-01 01:05:00+00:00,,balanced,0.7161456419530636,sa_htd_paper,4,1.0,0.2,0.1
2.089144810847186,2.5033024765867404,1408,88,0.0016360282897949219,5,39,0,1,1,0.136363636357438,3.1372613154793756,4.360702571338162,95.0,0.19440000000000002,pld,1.0,15.083482083184736,32.0,False,True,1.115694573394618,,,,False,dryrun,2025-01-01 01:10:00+00:00,,balanced,0.7273486082432298,sa_htd_paper,4,1.0,0.2,0.1
2.6399532979244986,2.8707167093178354,1568,98,0.002357006072998047,5,44,0,1,1,0.136363636357438,3.5211499305850533,6.860715671172716,95.0,0.178848,pld,1.0,16.06664976327262,32.0,False,True,0.9831676800878816,,,,False,dryrun,2025-01-01 01:15:00+00:00,,balanced,0.7476674970806747,sa_htd_paper,4,1.0,0.2,0.1
2.4096244121698986,2.642817300087054,1408,88,0.0018129348754882812,2,42,0,1,1,0.1538461538402367,6.58512036515739,5.266841911721214,95.0,0.19440000000000002,pld,1.0,17.139205670561125,32.0,False,True,1.0725559072885105,,,,False,dryrun,2025-01-01 01:20:00+00:00,,balanced,0.7456053725526384,sa_htd_paper,4,1.0,0.2,0.1
2.325497768955681,2.117556697666413,768,48,0.0023050308227539062,2,22,0,1,1,0.136363636357438,3.478035608441807,4.875002318197435,95.0,0.178848,pld,1.0,18.215154748336026,32.0,False,True,1.0759490777748992,,,,False,dryrun,2025-01-01 01:25:00+00:00,,balanced,0.7507225129870447,sa_htd_paper,4,1.0,0.2,0.1
2.413170465287752,2.6538856186302033,800,50,0.0016329288482666016,4,21,0,1,1,0.136363636357438,4.59535799105547,4.728108547108309,95.0,0.19440000000000002,pld,1.0,19.57436728367806,32.0,False,True,1.359212535342035,,,,False,dryrun,2025-01-01 01:30:00+00:00,,balanced,0.7506602069704928,sa_htd_paper,4,1.0,0.2,0.1
2.468688952192481,2.9025904944486833,800,50,0.00138092041015625,0,25,0,0,0,0.136363636357438,3.7708475658759637,5.773833286266271,90.0,0.20995200000000003,pld,1.0,20.948157570010494,32.0,False,True,1.373790286332433,,,,False,dryrun,2025-01-01 01:35:00+00:00,,balanced,0.7525754897688627,sa_htd_paper,4,1.0,0.2,0.1
2.4072259342953886,2.6006919921075053,1088,68,0.0019731521606445312,3,31,0,1,1,0.13043478260302457,3.0018862168553637,4.857030627320444,90.0,0.19440000000000002,pld,1.0,22.181906778409555,32.0,False,True,1.2337492083990593,,,,False,dryrun,2025-01-01 01:40:00+00:00,,balanced,0.7521612896180548,sa_htd_paper,4,1.0,0.2,0.1
2.4665797004196337,2.7363655937951212,1024,64,0.0017731189727783203,1,31,0,1,1,0.136363636357438,3.277294689087522,4.602276306820482,90.0,0.19440000000000002,pld,1.0,23.302850035808216,32.0,False,True,1.1209432573986624,,,,False,dryrun,2025-01-01 01:45:00+00:00,,balanced,0.7561797878114691,sa_htd_paper,4,1.0,0.2,0.1
