rmse,bytes,enc_ops,time_s,A_reports,B_reports,pickedA,route_ratio,Kp,var,resid_var,method,suite_idx,epsilon,rho,mal_rate
7.990961571689298,256,0,0.0027458667755126953,4,0,8,1.0,8,81.90828503501203,25.886632819407268,eptd,2,0.5,0.25,0.3
7.232008228467441,576,0,0.0026769638061523438,9,0,17,1.0,17,35.565832322722024,18.097943992940962,eptd,2,0.5,0.25,0.3
8.161292481923814,512,0,0.0025970935821533203,8,0,19,1.0,19,63.088912647861264,34.625387206991626,eptd,2,0.5,0.25,0.3
11.61042352201817,64,0,0.004205942153930664,1,0,20,1.0,20,2.330776977699587,31.862921974546747,eptd,2,0.5,0.25,0.3
11.420264880000758,64,0,0.003937721252441406,1,0,20,1.0,20,2.9795029308346273,27.426179089953546,eptd,2,0.5,0.25,0.3
7.662767341701159,576,0,0.003765106201171875,9,0,23,1.0,23,48.51756277727916,29.191714524954953,eptd,2,0.5,0.25,0.3
7.072480222288196,512,0,0.004123210906982422,8,0,20,1.0,20,16.436138129193843,19.361686629270658,eptd,2,0.5,0.25,0.3
7.122325042104575,640,0,0.003384113311767578,10,0,20,1.0,20,47.48028199458052,29.191909245087157,eptd,2,0.5,0.25,0.3
8.381688739242941,512,0,0.0038268566131591797,8,0,21,1.0,21,31.77288370961732,40.897840672898326,eptd,2,0.5,0.25,0.3
7.8740588662325255,704,0,0.002933025360107422,11,0,25,1.0,25,38.39112576562136,25.668943362528143,eptd,2,0.5,0.25,0.3
8.167640822290977,576,0,0.004283905029296875,9,0,22,1.0,22,19.26491284373845,29.238657100705062,eptd,2,0.5,0.25,0.3
7.897825201414086,640,0,0.004662036895751953,10,0,24,1.0,24,25.629340251952943,33.974818545548345,eptd,2,0.5,0.25,0.3
7.720913385236253,576,0,0.0031881332397460938,9,0,21,1.0,21,17.898044243678587,24.69921658107007,eptd,2,0.5,0.25,0.3
9.275804579293451,128,0,0.002176046371459961,2,0,24,1.0,24,7.048474760939205,7.745071492651287,eptd,2,0.5,0.25,0.3
8.073809645343342,512,0,0.0038509368896484375,8,0,22,1.0,22,20.592838980754234,26.243085839583728,eptd,2,0.5,0.25,0.3
