rmse,var,resid_var,bytes,enc_ops,time_s,method,suite_idx,epsilon,rho,mal_rate
2.395611220991499,40.485541163770286,3.3673215424515526,288,0,0.0020608901977539062,ud_ldp,2,0.5,0.25,0.3
3.444856545380029,13.973573744248268,7.457415967122514,1056,0,0.003293752670288086,ud_ldp,2,0.5,0.25,0.3
2.9883467978797325,27.968874853319495,8.917085095611384,1104,0,0.005769968032836914,ud_ldp,2,0.5,0.25,0.3
6.8307670023333635,0.02250725057824368,29.477131455784324,1008,0,0.0022428035736083984,ud_ldp,2,0.5,0.25,0.3
5.550553114535711,0.010928569937424266,21.319850814180953,1200,0,0.0013549327850341797,ud_ldp,2,0.5,0.25,0.3
1.8524443461740259,18.29411620616518,3.1701489907204974,1392,0,0.0031189918518066406,ud_ldp,2,0.5,0.25,0.3
1.7273339346189234,1.1970124508318984,2.6564918266715263,1632,0,0.007602214813232422,ud_ldp,2,0.5,0.25,0.3
9.502896574780388,20.42926476139465,57.26955417158335,1680,0,0.0035071372985839844,ud_ldp,2,0.5,0.25,0.3
5.66715926532248,17.310644867108326,15.249300669905903,1728,0,0.0028581619262695312,ud_ldp,2,0.5,0.25,0.3
8.03688575316759,23.04498779199551,41.43487500764611,1536,0,0.004330873489379883,ud_ldp,2,0.5,0.25,0.3
6.174563105385136,16.323510362302574,16.375213392116976,1584,0,0.005090951919555664,ud_ldp,2,0.5,0.25,0.3
5.958532809654025,18.429609505729598,17.727070848835286,1296,0,0.0033888816833496094,ud_ldp,2,0.5,0.25,0.3
5.945310344224352,14.378593404265958,10.708289244800683,1392,0,0.0034317970275878906,ud_ldp,2,0.5,0.25,0.3
1.9092012543884913,0.043419327666041015,3.2536303958925292,1728,0,0.0016179084777832031,ud_ldp,2,0.5,0.25,0.3
5.773365342016315,14.782827553731915,14.64686792180862,1344,0,0.002988100051879883,ud_ldp,2,0.5,0.25,0.3
5.77510442420804,15.84321913201656,16.352906411770004,1440,0,0.006056785583496094,ud_ldp,2,0.5,0.25,0.3
6.731242811782289,14.399330589092289,16.56272369573641,912,0,0.003262042999267578,ud_ldp,2,0.5,0.25,0.3
6.524278842573626,19.98277714776036,21.064485258772624,1152,0,0.0059430599212646484,ud_ldp,2,0.5,0.25,0.3
7.0139924039175146,19.210468588543865,18.59973076908581,1200,0,0.003242969512939453,ud_ldp,2,0.5,0.25,0.3
6.399015773317635,27.69881238198608,27.804576753702566,1200,0,0.0040471553802490234,ud_ldp,2,0.5,0.25,0.3
7.362598001554009,17.21445158414074,17.797824221142772,1632,0,0.0035729408264160156,ud_ldp,2,0.5,0.25,0.3
6.933348818089534,20.824019459845623,17.030643740167914,1536,0,0.0033469200134277344,ud_ldp,2,0.5,0.25,0.3
6.678912084860387,32.41359792394942,31.018194343037482,1296,0,0.007485866546630859,ud_ldp,2,0.5,0.25,0.3
7.611913872194418,22.44942894550645,19.111095435854043,1776,0,0.003419160842895508,ud_ldp,2,0.5,0.25,0.3
1.4751137401787584,1.9073654629104633e-23,2.133234960614891,528,0,0.003461122512817383,ud_ldp,2,0.5,0.25,0.3
6.714150362964572,30.92281127067157,26.083755761421315,864,0,0.0030829906463623047,ud_ldp,2,0.5,0.25,0.3
8.097208287199452,28.105418663657346,35.47343098185373,1584,0,0.0035660266876220703,ud_ldp,2,0.5,0.25,0.3
7.038045784934403,32.30115382819438,29.030549307388203,1152,0,0.0037462711334228516,ud_ldp,2,0.5,0.25,0.3
5.7902950782945295,10.770428268321636,15.363323414826656,528,0,0.0017621517181396484,ud_ldp,2,0.5,0.25,0.3
7.373976431268339,26.4670248308554,28.42253742491847,1104,0,0.006484270095825195,ud_ldp,2,0.5,0.25,0.3
7.542862404414879,29.668782498559953,31.687943284277193,1104,0,0.006864786148071289,ud_ldp,2,0.5,0.25,0.3
7.444202965415264,21.69288061620306,20.088483632757896,1008,0,0.003160715103149414,ud_ldp,2,0.5,0.25,0.3
8.236703336315271,21.49857894550185,20.182101095433566,912,0,0.006139039993286133,ud_ldp,2,0.5,0.25,0.3
8.267569888917206,33.91119547286995,34.396112970191595,1008,0,0.003113985061645508,ud_ldp,2,0.5,0.25,0.3
7.630454959414299,38.21827181878583,49.78575185027078,624,0,0.0023508071899414062,ud_ldp,2,0.5,0.25,0.3
7.014776584268327,28.873953797058192,31.757652162081534,672,0,0.0027267932891845703,ud_ldp,2,0.5,0.25,0.3
7.624460580947196,23.834709905966626,32.57720498050753,432,0,0.0023250579833984375,ud_ldp,2,0.5,0.25,0.3
8.093505846241339,22.906678242143364,26.860351043002925,672,0,0.004737138748168945,ud_ldp,2,0.5,0.25,0.3
2.7977813339805966,0.0003431716381326604,6.124720343172863,528,0,0.0011878013610839844,ud_ldp,2,0.5,0.25,0.3
6.999497837822443,22.980581513767564,27.886676464032348,624,0,0.0023691654205322266,ud_ldp,2,0.5,0.25,0.3
9.31108963232255,31.064684268249948,40.98324172848153,672,0,0.002498149871826172,ud_ldp,2,0.5,0.25,0.3
9.848961887362082,27.897935246999552,37.07878513407804,960,0,0.002960205078125,ud_ldp,2,0.5,0.25,0.3
6.885195801176649,21.95834920359683,19.512721668219424,432,0,0.002585172653198242,ud_ldp,2,0.5,0.25,0.3
3.2356982206768885,11.47978615020885,10.187643366946267,240,0,0.0011410713195800781,ud_ldp,2,0.5,0.25,0.3
12.836241308634504,39.064358547524186,90.49272140527697,672,0,0.0023560523986816406,ud_ldp,2,0.5,0.25,0.3
7.3524284453435955,37.04246016138126,34.744397920337896,288,0,0.0036780834197998047,ud_ldp,2,0.5,0.25,0.3
