rmse,var,resid_var,bytes,enc_ops,time_s,A_reports,B_reports,pickedA,route_ratio,target_route_ratio,A_part_count,ldp_var_used,method,suite_idx,epsilon,rho,mal_rate
2.6563788786991895,28.60121339267505,4.256439322684034,96,0,0.0025031566619873047,0,6,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
3.6518799329179887,10.4889719451516,9.122177404304349,352,0,0.003454923629760742,0,22,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
2.585185490169954,21.142845717552863,6.661947282664743,368,0,0.004305124282836914,0,23,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
6.8508239783818246,0.011250370197513801,29.46339958502461,1344,42,0.0046367645263671875,21,0,1,1.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
5.593120799513295,0.012248542755493098,21.333038788046977,1600,50,0.0016376972198486328,25,0,1,1.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
1.5273509663866418,14.319223056145011,2.300370291879337,464,0,0.0063817501068115234,0,29,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
1.5801988325751772,0.5951980966064958,2.0854650247371618,1072,22,0.0039038658142089844,11,23,8,0.3235294117647059,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
2.70468390649113,12.453089079195577,7.240611611611884,992,18,0.006638050079345703,9,26,10,0.2571428571428571,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
3.346621664598172,6.11385509294059,11.139313250412414,1296,30,0.004858970642089844,15,21,8,0.4166666666666667,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
2.7408970743939016,11.292872142200906,7.0996704335825465,848,14,0.006822824478149414,7,25,11,0.21875,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
2.9571829688980684,2.122344715671218,6.58715183403913,912,16,0.0045239925384521484,8,25,9,0.24242424242424243,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
2.72081663841786,3.430233444609313,7.366555427973291,432,0,0.005960941314697266,0,27,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
2.1919883592821985,1.158109280912721,2.770549504762218,464,0,0.005751848220825195,0,29,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
1.9455610810837305,0.030465749895318046,3.1881920527728496,1536,40,0.004812002182006836,20,16,2,0.5555555555555556,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
2.423908991608436,1.554472226427975,4.144995813463277,448,0,0.00855112075805664,0,28,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
2.5165847375895205,2.131362178792057,4.599340266714727,480,0,0.004842996597290039,0,30,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
3.6938935552717385,1.485805405479169,7.5710619320010855,304,0,0.0056040287017822266,0,19,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
2.132944012752302,0.7171321577518335,3.1345491332342603,384,0,0.006661176681518555,0,24,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
3.2379704265996683,2.116665028230798,5.445164889112428,400,0,0.005572795867919922,0,25,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
2.209320881840801,0.9827010155952602,4.798081053322698,400,0,0.007342815399169922,0,25,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
3.3921983720413817,0.5524886232740277,5.388421326320912,544,0,0.005302906036376953,0,34,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
2.7214162089624923,1.905161352233475,4.911631755561044,512,0,0.0037539005279541016,0,32,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
3.185558933008182,3.032739109980353,9.13061224779537,432,0,0.004920005798339844,0,27,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
4.079700275783875,1.6874195125922338,13.250460574580751,1360,32,0.007498979568481445,16,21,10,0.43243243243243246,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
1.486505523960351,0.002001340163617971,2.162939150074051,176,0,0.0014750957489013672,0,11,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
1.894003726165184,1.1082458506967643,3.5808843928654737,288,0,0.005714893341064453,0,18,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
2.759938806546604,4.284549237319781,7.168673952652849,528,0,0.008337974548339844,0,33,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
2.189347300304139,2.597753710110854,4.7725718913511965,384,0,0.0031070709228515625,0,24,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
3.7401241443540774,0.662891654724109,6.264124158940379,512,14,0.00506901741027832,7,4,3,0.6363636363636364,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
4.276016654068103,3.2384896281630198,16.282531547812205,704,14,0.004977226257324219,7,16,8,0.30434782608695654,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
3.278665199439889,2.7600617770630573,10.23060154956615,368,0,0.004646778106689453,0,23,0,0.0,0.08,0,1.9999999999979998,NewSAHTD,2,0.5,0.25,0.3
