rmse,var,resid_var,bytes,enc_ops,time_s,part_workers,method,suite_idx,epsilon,rho,mal_rate
2.395611220967249,40.48554116606089,3.3673215427419994,288,12,0.0012640953063964844,1,fed_sense,0,0.5,0.15,0.0
3.444856545324674,13.973573744617264,7.4574159669864075,1056,44,0.0008351802825927734,1,fed_sense,0,0.5,0.15,0.0
2.9883467979486897,27.968874854890846,8.91708509600668,1104,46,0.0008058547973632812,1,fed_sense,0,0.5,0.15,0.0
3.319915495730529,22.332320864801936,8.742622088103131,1296,54,0.0038368701934814453,1,fed_sense,0,0.5,0.15,0.0
4.901825071287742,0.03554420441545679,20.777373094979218,1200,50,0.002179861068725586,1,fed_sense,0,0.5,0.15,0.0
1.8524443461984395,18.294116206428328,3.170148990768389,1392,58,0.0023851394653320312,1,fed_sense,0,0.5,0.15,0.0
1.844598174563977,0.0026775835184692618,2.3903304570523045,1008,42,0.0009310245513916016,1,fed_sense,0,0.5,0.15,0.0
2.5249143335859556,17.04376052190801,6.360607251393934,1680,70,0.0008649826049804688,1,fed_sense,0,0.5,0.15,0.0
3.5057397287801133,7.066288194429738,12.18405542016539,1728,72,0.0032236576080322266,1,fed_sense,0,0.5,0.15,0.0
3.8293912740690432,0.002086397329132153,13.162579201052797,960,40,0.0008740425109863281,1,fed_sense,0,0.5,0.15,0.0
2.598251478614346,0.23395819450581146,6.4686277196052195,720,30,0.0029790401458740234,1,fed_sense,0,0.5,0.15,0.0
2.882076537373015,4.00407742658606,8.02956628418096,1296,54,0.002975940704345703,1,fed_sense,0,0.5,0.15,0.0
2.407634663196878,2.209332602579026,3.4551338606937927,1392,58,0.0007970333099365234,1,fed_sense,0,0.5,0.15,0.0
2.14574112680895,2.0136060007649097,4.493874338612408,1200,50,0.0011429786682128906,1,fed_sense,0,0.5,0.15,0.0
1.7443301304779326,0.29119453859200317,2.8126136722116915,768,32,0.0009181499481201172,1,fed_sense,0,0.5,0.15,0.0
2.192512295302283,0.14697094107976888,3.85274169772789,912,38,0.0009601116180419922,1,fed_sense,0,0.5,0.15,0.0
3.4610628900734093,1.2091843868248873,7.026085998810256,912,38,0.0012810230255126953,1,fed_sense,0,0.5,0.15,0.0
2.131684268544428,0.4868334221319257,2.8719478871304984,1152,48,0.0024640560150146484,1,fed_sense,0,0.5,0.15,0.0
3.2039005913975096,3.7910557678448664,6.579208429393478,1200,50,0.0007658004760742188,1,fed_sense,0,0.5,0.15,0.0
2.3909034385089725,1.5130251147572473,5.624859834745487,1200,50,0.0007488727569580078,1,fed_sense,0,0.5,0.15,0.0
3.441452924192737,0.8232459182549504,5.341155354983458,1632,68,0.0007328987121582031,1,fed_sense,0,0.5,0.15,0.0
2.5953273361723106,0.9640808379184993,3.687244828621354,1536,64,0.002630949020385742,1,fed_sense,0,0.5,0.15,0.0
3.224013677840679,3.269504390277724,9.490377496554323,1296,54,0.0007669925689697266,1,fed_sense,0,0.5,0.15,0.0
3.976759495608549,1.5188440956062745,12.27601052861629,1776,74,0.0029222965240478516,1,fed_sense,0,0.5,0.15,0.0
2.1176057330808953,1.875679161761107,4.248541778739999,1104,46,0.0010192394256591797,1,fed_sense,0,0.5,0.15,0.0
2.288442009936901,2.100699612822923,5.091516661340706,864,36,0.003130197525024414,1,fed_sense,0,0.5,0.15,0.0
2.9770410341077063,5.249823823379072,8.08751442720613,1584,66,0.0010221004486083984,1,fed_sense,0,0.5,0.15,0.0
2.3818588914488585,3.416457872574565,5.666984056550595,1152,48,0.0009760856628417969,1,fed_sense,0,0.5,0.15,0.0
3.0403003926764507,0.195557099238385,5.614194228445112,528,22,0.0026259422302246094,1,fed_sense,0,0.5,0.15,0.0
4.546172475205774,5.401171646866442,18.319357698120985,1104,46,0.0017497539520263672,1,fed_sense,0,0.5,0.15,0.0
3.3332063734364064,3.598275105004376,10.859116971879555,1104,46,0.0008890628814697266,1,fed_sense,0,0.5,0.15,0.0
5.393355104038642,2.2453184878835195,24.584896253812833,1008,42,0.0008070468902587891,1,fed_sense,0,0.5,0.15,0.0
5.090759707614663,0.20294476236676046,16.814842194152003,912,38,0.0006999969482421875,1,fed_sense,0,0.5,0.15,0.0
3.0363332614829956,3.4414779144962564,8.545458760780367,1008,42,0.0007548332214355469,1,fed_sense,0,0.5,0.15,0.0
6.189632473114137,26.955754051448427,34.71763972922953,624,26,0.0007510185241699219,1,fed_sense,0,0.5,0.15,0.0
4.702882067990762,13.601674042679496,21.533766087678348,672,28,0.0006909370422363281,1,fed_sense,0,0.5,0.15,0.0
2.8172730225104754,0.8979559160794895,5.935286036363225,432,18,0.001135110855102539,1,fed_sense,0,0.5,0.15,0.0
4.775113495481547,2.373434982909502,17.76866760867459,672,28,0.0010521411895751953,1,fed_sense,0,0.5,0.15,0.0
2.5327851825153904,0.019235972647631532,5.957940961582441,528,22,0.002567291259765625,1,fed_sense,0,0.5,0.15,0.0
1.9626460224091116,3.6302462650004514,2.8776526074462208,624,26,0.0007948875427246094,1,fed_sense,0,0.5,0.15,0.0
2.621287525314779,1.8552574000089617,4.872370165761472,672,28,0.0008220672607421875,1,fed_sense,0,0.5,0.15,0.0
3.6221451214989533,3.459696956881507,7.133779086860614,960,40,0.0023751258850097656,1,fed_sense,0,0.5,0.15,0.0
2.6829070133071107,0.25937038588299727,4.09533666525201,432,18,0.000797271728515625,1,fed_sense,0,0.5,0.15,0.0
2.0376870963087788,0.02943098903582367,3.4200034720082213,240,10,0.0014579296112060547,1,fed_sense,0,0.5,0.15,0.0
2.9360128537530956,8.929829219418538,7.5241399842268075,672,28,0.0007801055908203125,1,fed_sense,0,0.5,0.15,0.0
5.364268834559338,12.520868293265732,25.363596326827487,288,12,0.0009889602661132812,1,fed_sense,0,0.5,0.15,0.0
2.713331366289248,6.518340826914499,6.561977748036217,384,16,0.0009772777557373047,1,fed_sense,0,0.5,0.15,0.0
5.988727135235931,2.486551380586331,9.875810810507444,384,16,0.0015110969543457031,1,fed_sense,0,0.5,0.15,0.0
2.7487587994446034,0.012298418293112031,7.28914808555357,48,2,0.0010960102081298828,1,fed_sense,0,0.5,0.15,0.0
3.9025060011451496,2.9503245965959186,7.566409637462879,384,16,0.001984834671020508,1,fed_sense,0,0.5,0.15,0.0
3.4148866354977585,1.3049223216294612,7.482387315510102,624,26,0.002176046371459961,1,fed_sense,0,0.5,0.15,0.0
4.737824454902028,7.101049460495864,11.423670466749561,432,18,0.000988006591796875,1,fed_sense,0,0.5,0.15,0.0
3.082427717312274,0.43452919800067297,6.7438978121276625,144,6,0.002187013626098633,1,fed_sense,0,0.5,0.15,0.0
2.908875489374527,0.4766425738488529,5.754644542338089,240,10,0.002115964889526367,1,fed_sense,0,0.5,0.15,0.0
1.56991785125567,2.9576455878797967,2.4477386606061167,384,16,0.0008680820465087891,1,fed_sense,0,0.5,0.15,0.0
2.562589796308539,2.753018044023456e-05,5.550203881178488,144,6,0.0008881092071533203,1,fed_sense,0,0.5,0.15,0.0
1.7112861259560177,0.0,2.5115903094223815,48,2,0.001348257064819336,1,fed_sense,0,0.5,0.15,0.0
3.9807641597099908,0.12413815038360998,4.564324280579727,192,8,0.0023040771484375,1,fed_sense,0,0.5,0.15,0.0
15.546367510124576,0.0,10.139893136894633,0,0,0.00026226043701171875,0,fed_sense,0,0.5,0.15,0.0
12.531512076980283,0.0,2.9623726898750586,0,0,0.00011420249938964844,0,fed_sense,0,0.5,0.15,0.0
13.383837591184987,0.0,4.27646722847021,0,0,0.0002167224884033203,0,fed_sense,0,0.5,0.15,0.0
1.9972042210430643,0.0,3.758686383976233,96,4,0.0007488727569580078,1,fed_sense,0,0.5,0.15,0.0
14.396600386085556,0.0,1.5976024968228968,0,0,8.273124694824219e-05,0,fed_sense,0,0.5,0.15,0.0
12.52560501309977,0.0,0.844327433812666,0,0,9.799003601074219e-05,0,fed_sense,0,0.5,0.15,0.0
14.133361245591743,0.0,0.1380291121548413,0,0,9.918212890625e-05,0,fed_sense,0,0.5,0.15,0.0
21.876105297843793,0.0,17.72022547697017,0,0,0.000225067138671875,0,fed_sense,0,0.5,0.15,0.0
18.07713720655715,0.0,21.648176991411805,0,0,9.274482727050781e-05,0,fed_sense,0,0.5,0.15,0.0
14.603720619360589,0.0,0.0,0,0,0.0002079010009765625,0,fed_sense,0,0.5,0.15,0.0
12.12284783290014,0.0,6.146623650986483,0,0,0.00022077560424804688,0,fed_sense,0,0.5,0.15,0.0
18.687411953747983,0.0,34.186862067644036,0,0,0.00019788742065429688,0,fed_sense,0,0.5,0.15,0.0
18.661587914408088,0.0,0.0,48,2,0.0014138221740722656,1,fed_sense,0,0.5,0.15,0.0
14.1044776119403,0.0,0.0,0,0,0.0001049041748046875,0,fed_sense,0,0.5,0.15,0.0
20.971291866028707,0.0,0.0,0,0,8.392333984375e-05,0,fed_sense,0,0.5,0.15,0.0
19.748571428571427,0.0,0.0,0,0,9.822845458984375e-05,0,fed_sense,0,0.5,0.15,0.0
12.802816901408452,0.0,0.0,0,0,9.489059448242188e-05,0,fed_sense,0,0.5,0.15,0.0
16.242593383048458,0.0,0.3049488645540677,0,0,0.00021219253540039062,0,fed_sense,0,0.5,0.15,0.0
16.85120721931551,0.0,0.0,0,0,0.00017905235290527344,0,fed_sense,0,0.5,0.15,0.0
20.43779511924119,0.0,52.54925551295336,0,0,0.00017905235290527344,0,fed_sense,0,0.5,0.15,0.0
13.059936908517347,0.0,0.0,0,0,7.700920104980469e-05,0,fed_sense,0,0.5,0.15,0.0
29.32682926829268,0.0,0.0,0,0,9.608268737792969e-05,0,fed_sense,0,0.5,0.15,0.0
13.84227691057141,0.0,34.71609011237085,48,2,0.0009071826934814453,1,fed_sense,0,0.5,0.15,0.0
7.073349872574871,18.663269565622443,3.126625847847926,96,4,0.0006232261657714844,1,fed_sense,0,0.5,0.15,0.0
13.71336800244723,0.0,0.0,0,0,0.00010228157043457031,0,fed_sense,0,0.5,0.15,0.0
20.80478259115651,0.0,0.1406768672194767,0,0,0.0001900196075439453,0,fed_sense,0,0.5,0.15,0.0
18.10169491525424,0.0,0.0,0,0,7.700920104980469e-05,0,fed_sense,0,0.5,0.15,0.0
34.9037037037037,0.0,0.0,0,0,7.104873657226562e-05,0,fed_sense,0,0.5,0.15,0.0
19.30038022813688,0.0,0.0,0,0,0.000102996826171875,0,fed_sense,0,0.5,0.15,0.0
1.8665012143819866,0.8337965819621187,2.050499758341287,144,6,0.0007231235504150391,1,fed_sense,0,0.5,0.15,0.0
11.030907450583674,0.0,56.59161235807763,48,2,0.0005838871002197266,1,fed_sense,0,0.5,0.15,0.0
5.6069267519039165,0.0,0.0,192,8,0.0009729862213134766,1,fed_sense,0,0.5,0.15,0.0
7.2270939538633145,108.65386795968774,48.84044448852253,144,6,0.0005211830139160156,1,fed_sense,0,0.5,0.15,0.0
11.388305481614934,89.58786555927931,107.78598714033794,240,10,0.0019288063049316406,1,fed_sense,0,0.5,0.15,0.0
24.492816274634457,0.0,0.0,0,0,0.00012302398681640625,0,fed_sense,0,0.5,0.15,0.0
11.843880131746216,0.0,1.6171134568049974,0,0,0.00020241737365722656,0,fed_sense,0,0.5,0.15,0.0
15.128902627511591,0.0,0.0,0,0,0.0001270771026611328,0,fed_sense,0,0.5,0.15,0.0
5.970255148671623,0.0,35.63185109828112,96,4,0.0021009445190429688,1,fed_sense,0,0.5,0.15,0.0
17.031593406593405,0.0,0.0,0,0,0.0077021121978759766,0,fed_sense,0,0.5,0.15,0.0
24.832977042076188,0.0,1.0419365256610316,0,0,0.00031375885009765625,0,fed_sense,0,0.5,0.15,0.0
11.219016072138249,68.85625628258471,110.25018898030001,480,20,0.00302886962890625,1,fed_sense,0,0.5,0.15,0.0
8.58204846180137,0.6160865419602172,52.179634844727424,144,6,0.002023935317993164,1,fed_sense,0,0.5,0.15,0.0
6.722576204019956,0.001511563700051137,26.32479889526472,192,8,0.0007569789886474609,1,fed_sense,0,0.5,0.15,0.0
20.914828126930388,0.0,78.66430218311176,0,0,0.0002980232238769531,0,fed_sense,0,0.5,0.15,0.0
12.267088733211502,0.0,0.6632412434393218,96,4,0.002349853515625,1,fed_sense,0,0.5,0.15,0.0
16.042608563568656,0.0,15.958240567969122,0,0,0.00010800361633300781,0,fed_sense,0,0.5,0.15,0.0
7.322605209098014,1.262177448353619e-29,14.6556679633642,96,4,0.0011200904846191406,1,fed_sense,0,0.5,0.15,0.0
3.2043248674827605,0.14287279404923126,4.380874865960561,336,14,0.001425027847290039,1,fed_sense,0,0.5,0.15,0.0
10.93132301320441,3.4935289802967597,103.29512758245444,240,10,0.0007059574127197266,1,fed_sense,0,0.5,0.15,0.0
5.58833838085953,4.41623392394099,27.592999529652158,144,6,0.0007960796356201172,1,fed_sense,0,0.5,0.15,0.0
1.670354014187605,0.24401226690042466,2.7085341181735085,192,8,0.0013620853424072266,1,fed_sense,0,0.5,0.15,0.0
11.319603532917668,52.96970351760623,75.33860583466128,240,10,0.0008382797241210938,1,fed_sense,0,0.5,0.15,0.0
8.275428904071791,2.3607195484280457,26.90869658234578,240,10,0.001889944076538086,1,fed_sense,0,0.5,0.15,0.0
6.443188698544235,2.1978243673320352,36.55111169013741,432,18,0.0013649463653564453,1,fed_sense,0,0.5,0.15,0.0
9.204807314348926,1.8960713619093943e-24,43.029104156830364,144,6,0.0006549358367919922,1,fed_sense,0,0.5,0.15,0.0
3.261314530935862,28.566369040114655,9.316154737850708,336,14,0.0006670951843261719,1,fed_sense,0,0.5,0.15,0.0
8.979764018934672,1.262177448353619e-29,26.555867591551106,96,4,0.0006580352783203125,1,fed_sense,0,0.5,0.15,0.0
5.486842302330024,23.239725753211356,22.89664630268719,528,22,0.0007500648498535156,1,fed_sense,0,0.5,0.15,0.0
4.481734499451325,25.358113599093098,15.97333190973897,240,10,0.0006971359252929688,1,fed_sense,0,0.5,0.15,0.0
2.843397963732582,25.109691494152894,7.74234395820567,384,16,0.0008611679077148438,1,fed_sense,0,0.5,0.15,0.0
7.99083119931163,7.699242424652844,60.19617435854137,336,14,0.0007638931274414062,1,fed_sense,0,0.5,0.15,0.0
2.50758627443344,25.995572301408156,5.727172980132694,480,20,0.0007338523864746094,1,fed_sense,0,0.5,0.15,0.0
6.13393888463464,35.44281145557748,29.964754924276484,816,34,0.0008840560913085938,1,fed_sense,0,0.5,0.15,0.0
7.259461230879217,0.48632812661479613,21.732565281344325,432,18,0.001657724380493164,1,fed_sense,0,0.5,0.15,0.0
3.4201895362996484,26.710926495196023,11.437155401673836,336,14,0.001995086669921875,1,fed_sense,0,0.5,0.15,0.0
4.1640587172200085,26.94530784574632,2.775031311424325,480,20,0.002427816390991211,1,fed_sense,0,0.5,0.15,0.0
5.281204870737448,12.133627993166986,9.532568187357906,528,22,0.0018329620361328125,1,fed_sense,0,0.5,0.15,0.0
4.579998568435165,20.24332719023252,9.779001427535674,384,16,0.0009317398071289062,1,fed_sense,0,0.5,0.15,0.0
1.9504163538569717,0.35402077326277126,2.412404428307081,576,24,0.0018160343170166016,1,fed_sense,0,0.5,0.15,0.0
4.704089295703669,13.596161355911825,20.10200768010201,576,24,0.0007750988006591797,1,fed_sense,0,0.5,0.15,0.0
6.0951400084338285,21.837009726852273,26.164900872958043,576,24,0.0019540786743164062,1,fed_sense,0,0.5,0.15,0.0
3.193059920444853,18.40080281038163,7.681364257324334,288,12,0.002621889114379883,1,fed_sense,0,0.5,0.15,0.0
4.964098743814634,0.008655879235995522,14.049229115597841,288,12,0.0009570121765136719,1,fed_sense,0,0.5,0.15,0.0
11.845355189702648,44.29743236046639,54.352930627411574,528,22,0.0024268627166748047,1,fed_sense,0,0.5,0.15,0.0
4.912378714944447,23.77340321734354,23.34530576573916,624,26,0.0008990764617919922,1,fed_sense,0,0.5,0.15,0.0
5.288645606945131,22.182590097502345,20.695902968843725,720,30,0.0019481182098388672,1,fed_sense,0,0.5,0.15,0.0
4.4030357301785,31.613844063466686,10.599363876401926,576,24,0.0010499954223632812,1,fed_sense,0,0.5,0.15,0.0
5.172646020129039,54.555551736064366,25.965811650674606,528,22,0.0029897689819335938,1,fed_sense,0,0.5,0.15,0.0
3.2435839227869936,21.606570251569423,8.46068575131647,624,26,0.001917123794555664,1,fed_sense,0,0.5,0.15,0.0
5.661563439000394,1.134587038736843,27.23708344522456,384,16,0.0026090145111083984,1,fed_sense,0,0.5,0.15,0.0
4.888743519951314,22.343466911853582,10.939335389548205,576,24,0.0018739700317382812,1,fed_sense,0,0.5,0.15,0.0
3.897277722133653,12.580225424804302,14.37536307715661,624,26,0.0028569698333740234,1,fed_sense,0,0.5,0.15,0.0
5.046745114507965,3.6373612364127412,22.7845687467654,576,24,0.002585172653198242,1,fed_sense,0,0.5,0.15,0.0
3.5515276808129634,7.530348453459087,10.721529476453785,432,18,0.0020720958709716797,1,fed_sense,0,0.5,0.15,0.0
3.787172410549512,25.214765005939913,8.950536850627412,1056,44,0.0013380050659179688,1,fed_sense,0,0.5,0.15,0.0
6.152497223656322,23.579073899760406,35.3867148786003,864,36,0.0008139610290527344,1,fed_sense,0,0.5,0.15,0.0
3.370592222209779,16.885361305503398,8.920908378516373,576,24,0.0010249614715576172,1,fed_sense,0,0.5,0.15,0.0
3.94121008725087,17.76275947959609,13.985088432636555,864,36,0.001004934310913086,1,fed_sense,0,0.5,0.15,0.0
5.811795251383981,7.5907858983967476,31.688045174516414,432,18,0.0008809566497802734,1,fed_sense,0,0.5,0.15,0.0
5.62781212472872,0.06698109541815297,24.494964814917388,1296,54,0.004110813140869141,1,fed_sense,0,0.5,0.15,0.0
5.349176532776388,21.955396581037885,24.917699752393883,720,30,0.002613067626953125,1,fed_sense,0,0.5,0.15,0.0
7.175987308690359,45.766476724585566,45.32284710756295,864,36,0.0023899078369140625,1,fed_sense,0,0.5,0.15,0.0
5.136746329846498,5.968067844401225,25.91695913018928,720,30,0.00360107421875,1,fed_sense,0,0.5,0.15,0.0
3.3888142813801574,16.347976671019055,11.094607443467137,1008,42,0.002344846725463867,1,fed_sense,0,0.5,0.15,0.0
2.8323127450719916,12.686143494080822,6.357057379815028,1056,44,0.0008409023284912109,1,fed_sense,0,0.5,0.15,0.0
3.661494433544884,0.0897553945569462,12.821729544104816,1632,68,0.0022351741790771484,1,fed_sense,0,0.5,0.15,0.0
2.530039040180944,12.921202264426867,5.332756365412266,1200,50,0.002858877182006836,1,fed_sense,0,0.5,0.15,0.0
3.725389796576572,17.92773080322736,12.405882328439873,720,30,0.0022568702697753906,1,fed_sense,0,0.5,0.15,0.0
8.834263922622988,24.458057370577162,36.05254901977018,1008,42,0.0019881725311279297,1,fed_sense,0,0.5,0.15,0.0
2.639405285322904,7.975725516971512,6.364451338484389,1296,54,0.002028942108154297,1,fed_sense,0,0.5,0.15,0.0
3.507787828347775,29.592313649430846,11.870253477850623,1008,42,0.0019390583038330078,1,fed_sense,0,0.5,0.15,0.0
4.393040301976685,23.092534091682463,19.296489057436727,816,34,0.0019578933715820312,1,fed_sense,0,0.5,0.15,0.0
2.0524604262915322,9.315634239976186,4.02966082510243,1392,58,0.0018780231475830078,1,fed_sense,0,0.5,0.15,0.0
7.310324915025612,37.73715046877952,29.95725022615275,1008,42,0.0008821487426757812,1,fed_sense,0,0.5,0.15,0.0
4.314293993369281,0.15318002426060195,15.912812568470097,720,30,0.0009989738464355469,1,fed_sense,0,0.5,0.15,0.0
4.5678082721816144,17.06916483539178,19.388263357431008,864,36,0.004191160202026367,1,fed_sense,0,0.5,0.15,0.0
3.7429929703450027,19.85891906686963,13.212849459572402,960,40,0.0024750232696533203,1,fed_sense,0,0.5,0.15,0.0
4.965344131431995,30.019670002673003,23.058456665738547,1440,60,0.001013040542602539,1,fed_sense,0,0.5,0.15,0.0
4.535764999024875,2.256121246776537,17.778475876840968,1008,42,0.0009708404541015625,1,fed_sense,0,0.5,0.15,0.0
5.234086941263478,3.2882182069175934,13.03136120997327,720,30,0.0021538734436035156,1,fed_sense,0,0.5,0.15,0.0
2.467497748486228,12.547727749229301,5.196942385832379,672,28,0.0022399425506591797,1,fed_sense,0,0.5,0.15,0.0
3.251427249152558,13.061435087839962,10.090235550569139,912,38,0.0009071826934814453,1,fed_sense,0,0.5,0.15,0.0
3.0567150609772185,39.05579410538093,8.101632132009707,576,24,0.005808830261230469,1,fed_sense,0,0.5,0.15,0.0
3.83304306823108,0.31241299612375867,13.793875524157778,528,22,0.0026111602783203125,1,fed_sense,0,0.5,0.15,0.0
4.9131594675892725,39.09083662607304,23.93202032368014,720,30,0.0023539066314697266,1,fed_sense,0,0.5,0.15,0.0
4.081212875651223,3.4284316159369723,12.113831000405742,864,36,0.002312183380126953,1,fed_sense,0,0.5,0.15,0.0
1.6068240827973361,24.976694620456282,2.568009722280337,720,30,0.0024597644805908203,1,fed_sense,0,0.5,0.15,0.0
1.773219813820807,20.248121764257178,3.08780564999919,672,28,0.0007588863372802734,1,fed_sense,0,0.5,0.15,0.0
3.53009365397276,1.7667268746438394,8.401060615153256,912,38,0.0008130073547363281,1,fed_sense,0,0.5,0.15,0.0
5.739491141848555,0.03675512278789338,32.243476940090375,864,36,0.001995086669921875,1,fed_sense,0,0.5,0.15,0.0
2.2137111370277656,18.91514136252794,4.6656233297442515,720,30,0.001348257064819336,1,fed_sense,0,0.5,0.15,0.0
2.87099183952849,22.274374221587216,7.552132221734281,960,40,0.0022499561309814453,1,fed_sense,0,0.5,0.15,0.0
1.7847082056243073,14.49483503396829,3.1806369745743885,1248,52,0.0026292800903320312,1,fed_sense,0,0.5,0.15,0.0
3.691421956090821,6.618084720004094,13.506131164653919,960,40,0.0018701553344726562,1,fed_sense,0,0.5,0.15,0.0
3.081747081231241,16.57003244435643,9.489720752871706,960,40,0.0017189979553222656,1,fed_sense,0,0.5,0.15,0.0
3.4101857275963696,0.008654542425518127,11.594499152206426,1296,54,0.0021462440490722656,1,fed_sense,0,0.5,0.15,0.0
3.3743740481729274,16.307955481722406,10.931040249704337,432,18,0.0009579658508300781,1,fed_sense,0,0.5,0.15,0.0
6.177695493783506,46.31957520563096,27.700028881659367,720,30,0.0010249614715576172,1,fed_sense,0,0.5,0.15,0.0
4.323371318467331,17.77155364877706,14.554881866440708,1056,44,0.0036580562591552734,1,fed_sense,0,0.5,0.15,0.0
5.5267644024561395,0.15471790127338966,18.109126225513915,384,16,0.0011739730834960938,1,fed_sense,0,0.5,0.15,0.0
1.885256888437004,29.041262339302325,3.357041787570457,960,40,0.0019631385803222656,1,fed_sense,0,0.5,0.15,0.0
5.0958950477566685,5.116935648039031,25.915677558460626,624,26,0.0032422542572021484,1,fed_sense,0,0.5,0.15,0.0
2.45125757229124,8.936695940455719,5.962493259948691,1152,48,0.001621246337890625,1,fed_sense,0,0.5,0.15,0.0
2.563358654256888,16.81103090237734,5.972983203831929,816,34,0.0008451938629150391,1,fed_sense,0,0.5,0.15,0.0
