rmse,rmse_raw,bytes,bytes_A,bytes_B,bytes_C,enc_ops,time_s,A_reports,B_reports,C_reports,pickedA,route_ratio,var,resid_var,tau_percentile,A_budget_ratio,postprocess_enabled,postprocess_reason,postprocess_score,postprocess_alpha_scale,postprocess_proc_var_scale,accountant_mode,epsilon_round,epsilon_cum_window,epsilon_limit,filter_triggered,shuffle_used,epsilon_effective,geo_r_protect,vdaf_http,vdaf_ok_ratio,reject_ratio,dap_mode,batch_key,collect_id,system_issues,method,suite_idx,epsilon,rho,mal_rate
2.7252648373953625,2.7802158622628053,988,320,28,640,96,0.00243377685546875,10,28,10,5,0.41666666665798613,1.5656309012378826,6.779626472941856,95.0,0.2752274618853513,True,score=0.80; sparsity:86%_entities<5_reports,0.8,0.29600000000000004,0.68,pld,0.5,4.9649561863241525,32.0,False,True,0.3745394002677551,,False,,,offline,2025-01-01 00:50:00+00:00,,['A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes'],sa_htd_paper,2,0.5,0.25,0.3
2.346039676539717,3.5082772047600526,967,192,71,704,176,0.0023758411407470703,6,71,11,4,0.19318181817962293,1.4307298587955408,4.98163046963365,95.0,0.2734660061292851,True,score=0.80; sparsity:83%_entities<5_reports,0.8,0.29600000000000004,0.68,pld,0.5,5.423671395936167,32.0,False,True,0.45871520961201456,,False,,,offline,2025-01-01 00:55:00+00:00,,['A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes'],sa_htd_paper,2,0.5,0.25,0.3
2.0557278759590702,2.345178541712073,1032,320,8,704,58,0.0022957324981689453,10,8,11,5,0.7241379310095125,1.0167391870047655,3.117206164188898,95.0,0.2717158236900577,True,score=0.80; sparsity:90%_entities<5_reports,0.8,0.29600000000000004,0.68,pld,0.5,5.923671395936167,32.0,False,True,0.5,,False,,,offline,2025-01-01 01:00:00+00:00,,['A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes'],sa_htd_paper,2,0.5,0.25,0.3
2.0307095408993203,2.2824569951649316,941,128,45,768,122,0.0026488304138183594,4,45,12,5,0.26229508196291323,0.5642918210041942,3.311268859916541,95.0,0.26997684241844133,True,score=0.80; sparsity:88%_entities<5_reports,0.8,0.29600000000000004,0.68,pld,0.5,6.085851713611199,32.0,False,True,0.16218031767503205,,False,,,offline,2025-01-01 01:05:00+00:00,,['A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes'],sa_htd_paper,2,0.5,0.25,0.3
2.0457602041886753,2.9181806327445368,860,192,28,640,88,0.0030078887939453125,6,28,10,5,0.3636363636280992,0.9696639945606544,3.517920564241304,95.0,0.26824899062696334,True,score=0.80; sparsity:82%_entities<5_reports,0.8,0.29600000000000004,0.68,pld,0.5,6.3506910633620715,32.0,False,True,0.26483934975087225,,False,,,offline,2025-01-01 01:10:00+00:00,,['A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes'],sa_htd_paper,2,0.5,0.25,0.3
2.092280730492552,2.674313272043207,835,96,35,704,98,0.0023550987243652344,3,35,11,4,0.2857142857084548,0.769808971132152,3.5722207128540164,95.0,0.2665321970869508,True,score=0.80; sparsity:82%_entities<5_reports,0.8,0.29600000000000004,0.68,pld,0.5,6.725230463629827,32.0,False,True,0.3745394002677551,,False,,,offline,2025-01-01 01:15:00+00:00,,['A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes'],sa_htd_paper,2,0.5,0.25,0.3
3.3924156950644653,3.5969027074470348,482,192,34,256,88,0.0024051666259765625,6,34,4,5,0.227272727267562,0.6290994337079923,6.994202702715909,95.0,0.26482639102559435,True,score=0.80; sparsity:96%_entities<5_reports,0.8,0.29600000000000004,0.68,pld,0.5,7.0495910989798904,32.0,False,True,0.3243606353500641,,False,,,offline,2025-01-01 01:20:00+00:00,,['A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes'],sa_htd_paper,2,0.5,0.25,0.3
2.6701947365562027,2.638100659544942,683,160,11,512,48,0.0021240711212158203,5,11,8,4,0.5416666666440972,0.7000228389082324,3.7340145068784114,95.0,0.2631315021230306,True,score=0.80; sparsity:95%_entities<5_reports,0.8,0.29600000000000004,0.68,pld,0.5,7.508306308591905,32.0,False,True,0.45871520961201456,,False,,,offline,2025-01-01 01:25:00+00:00,,['A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes'],sa_htd_paper,2,0.5,0.25,0.3
3.146410024293428,3.4697692168870655,527,128,15,384,50,0.0030069351196289062,4,15,6,4,0.399999999984,1.4463916507069656,4.705435344473354,95.0,0.26144746050944323,True,score=0.80; sparsity:95%_entities<5_reports,0.8,0.29600000000000004,0.68,pld,0.5,7.88284570885966,32.0,False,True,0.3745394002677551,,False,,,offline,2025-01-01 01:30:00+00:00,,['A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes'],sa_htd_paper,2,0.5,0.25,0.3
2.363877260981113,2.409033815404343,745,288,9,448,50,0.002040863037109375,9,9,7,5,0.6399999999744,1.1012712946537115,4.666615489008375,95.0,0.2823632573501987,True,score=0.80; sparsity:86%_entities<5_reports,0.8,0.29600000000000004,0.68,pld,0.5,8.172962680806766,32.0,False,True,0.29011697194710584,,False,,,offline,2025-01-01 01:35:00+00:00,,['A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes'],sa_htd_paper,2,0.5,0.25,0.3
